Name,size,"time,sec","cpu,%","Mem,GB"
lapack_ch_clang,20000,24.26808,3210.28,9.069
lapack_ch,20000,24.33758,3209.83,9.069
lapack_lu_clang,20000,85.42307,3212.81,9.049
lapack_qr,20000,228.3609,3217.82,15.01
num_ch,20000,114.50891,0.0,18.09
mkl_qr_clang,20000,43.25415,1606.31,9.389
mkl_lu_clang,20000,24.68424,1607.23,9.535
mkl_qr,20000,43.14429,1608.54,9.385
mkl_ch_clang,20000,13.46661,1605.82,7.836
mkl_ch,20000,13.34454,1609.54,7.833
mkl_lu,20000,25.02412,1609.16,9.541
lapack_qr_clang,20000,229.50625,3224.11,15.02
lapack_lu,20000,84.54936,3219.0,9.049
num_lu,20000,51.94619,0.0,15.29
num_qr,20000,219.06848,0.0,21.07
