Name,size,"time,sec","cpu,%","Mem,GB"
lapack_ch_clang,20000,20.30379,3210.42,9.069
lapack_ch,20000,20.70124,3211.25,9.069
lapack_lu_clang,20000,72.61725,3213.63,9.049
lapack_qr,20000,187.1364,3214.86,15.02
num_ch,20000,81.80464,3213.13,18.1
mkl_qr_clang,20000,35.82255,1608.87,9.385
mkl_lu_clang,20000,20.31524,1607.42,9.485
mkl_qr,20000,35.92487,1607.2,9.388
mkl_ch_clang,20000,10.7051,1602.11,7.809
mkl_ch,20000,10.13229,1608.89,7.812
mkl_lu,20000,20.29049,1609.16,9.485
lapack_qr_clang,20000,199.7341,3217.28,15.02
lapack_lu,20000,72.88728,3214.19,9.049
num_lu,20000,33.61836,3211.75,15.43
num_qr,20000,177.08783,3213.73,21.08
