Name,size,"time,sec","cpu,%","Mem,GB"
lapack_qr,1000,0.14846,0.0,0.0
lapack_qr_clang,1000,0.14566,0.0,0.0
mkl_qr_clang,1000,0.09646,0.0,0.0
num_ch,1000,0.51759,3091.58,0.0
mkl_lu,1000,0.08816,0.0,0.0
mkl_ch_clang,1000,0.07775,0.0,0.0
mkl_lu_clang,1000,0.08592,0.0,0.0
mkl_qr,1000,0.09918,0.0,0.0
lapack_lu,1000,0.07917,0.0,0.0
lapack_ch,1000,0.05116,0.0,0.0
mkl_ch,1000,0.07655,0.0,0.0
num_lu,1000,0.6844,3097.18,0.0
num_qr,1000,0.19853,0.0,0.0
lapack_lu_clang,1000,0.07867,0.0,0.0
lapack_ch_clang,1000,0.04858,0.0,0.0
