hardcore_grothendieck: CPU: 3198.44%, Memory: 4.584GiB / 503.5GiB
hardcore_grothendieck: CPU: 3161.38%, Memory: 2.305GiB / 503.5GiB
funny_driscoll: CPU: 182.47%, Memory: 1.216GiB / 503.5GiB
funny_driscoll: CPU: 3183.11%, Memory: 2.278GiB / 503.5GiB
funny_driscoll: CPU: 3194.23%, Memory: 2.28GiB / 503.5GiB
funny_driscoll: CPU: 955.02%, Memory: 1.922GiB / 503.5GiB
funny_driscoll: CPU: 3180.04%, Memory: 3.035GiB / 503.5GiB
funny_driscoll: CPU: 3081.33%, Memory: 3.035GiB / 503.5GiB
funny_driscoll: CPU: 3208.94%, Memory: 3.036GiB / 503.5GiB
funny_driscoll: CPU: 3174.81%, Memory: 3.036GiB / 503.5GiB
funny_driscoll: CPU: 3032.77%, Memory: 3.28GiB / 503.5GiB
funny_driscoll: CPU: 3193.46%, Memory: 4.585GiB / 503.5GiB
funny_driscoll: CPU: 703.93%, Memory: 2.305GiB / 503.5GiB
strange_nightingale: CPU: 100.48%, Memory: 1.339GiB / 503.5GiB
strange_nightingale: CPU: 3187.82%, Memory: 2.278GiB / 503.5GiB
strange_nightingale: CPU: 3186.94%, Memory: 2.281GiB / 503.5GiB
strange_nightingale: CPU: 100.21%, Memory: 2.402GiB / 503.5GiB
strange_nightingale: CPU: 3185.90%, Memory: 3.036GiB / 503.5GiB
strange_nightingale: CPU: 3096.41%, Memory: 3.036GiB / 503.5GiB
strange_nightingale: CPU: 3076.46%, Memory: 3.036GiB / 503.5GiB
strange_nightingale: CPU: 3181.96%, Memory: 3.036GiB / 503.5GiB
strange_nightingale: CPU: 1190.81%, Memory: 3.091GiB / 503.5GiB
strange_nightingale: CPU: 873.14%, Memory: 4.584GiB / 503.5GiB
strange_nightingale: CPU: 3195.47%, Memory: 4.584GiB / 503.5GiB
strange_nightingale: CPU: 3187.27%, Memory: 2.305GiB / 503.5GiB
great_snyder: CPU: 101.59%, Memory: 1.236GiB / 503.5GiB
great_snyder: CPU: 3172.76%, Memory: 2.278GiB / 503.5GiB
great_snyder: CPU: 3184.10%, Memory: 2.28GiB / 503.5GiB
great_snyder: CPU: 3004.39%, Memory: 2.291GiB / 503.5GiB
great_snyder: CPU: 3209.92%, Memory: 3.036GiB / 503.5GiB
great_snyder: CPU: 3180.87%, Memory: 3.036GiB / 503.5GiB
great_snyder: CPU: 3074.08%, Memory: 3.036GiB / 503.5GiB
great_snyder: CPU: 3193.79%, Memory: 3.037GiB / 503.5GiB
great_snyder: CPU: 1822.94%, Memory: 3.783GiB / 503.5GiB
great_snyder: CPU: 1900.90%, Memory: 3.862GiB / 503.5GiB
great_snyder: CPU: 3161.57%, Memory: 4.584GiB / 503.5GiB
great_snyder: CPU: 621.98%, Memory: 2.305GiB / 503.5GiB
