exciting_bartik: CPU: 488.95%, Memory: 9.068GiB / 503.5GiB
magical_ganguly: CPU: 100.12%, Memory: 1.261GiB / 503.5GiB
magical_ganguly: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 100.21%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 100.06%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 99.96%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 99.72%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 99.99%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 99.93%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 99.69%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 99.07%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 99.66%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 100.06%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 99.72%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 99.99%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
magical_ganguly: CPU: 100.15%, Memory: 4.474GiB / 503.5GiB
magical_ganguly: CPU: 100.21%, Memory: 7.17GiB / 503.5GiB
magical_ganguly: CPU: 3118.64%, Memory: 7.626GiB / 503.5GiB
magical_ganguly: CPU: 1946.24%, Memory: 7.626GiB / 503.5GiB
magical_ganguly: CPU: 100.24%, Memory: 6.607GiB / 503.5GiB
magical_ganguly: CPU: 2721.03%, Memory: 7.639GiB / 503.5GiB
magical_ganguly: CPU: 3195.74%, Memory: 7.638GiB / 503.5GiB
magical_ganguly: CPU: 3167.00%, Memory: 7.649GiB / 503.5GiB
magical_ganguly: CPU: 540.22%, Memory: 7.654GiB / 503.5GiB
magical_ganguly: CPU: 100.11%, Memory: 6.081GiB / 503.5GiB
magical_ganguly: CPU: 100.02%, Memory: 6.081GiB / 503.5GiB
magical_ganguly: CPU: 99.99%, Memory: 9.015GiB / 503.5GiB
magical_ganguly: CPU: 3196.66%, Memory: 9.068GiB / 503.5GiB
magical_ganguly: CPU: 3197.52%, Memory: 9.068GiB / 503.5GiB
magical_ganguly: CPU: 3191.56%, Memory: 9.068GiB / 503.5GiB
magical_ganguly: CPU: 3183.29%, Memory: 9.068GiB / 503.5GiB
magical_ganguly: CPU: 3191.68%, Memory: 9.068GiB / 503.5GiB
magical_ganguly: CPU: 3092.46%, Memory: 9.068GiB / 503.5GiB
magical_ganguly: CPU: 100.09%, Memory: 7.309GiB / 503.5GiB
hopeful_einstein: CPU: 147.94%, Memory: 1.178GiB / 503.5GiB
hopeful_einstein: CPU: 100.14%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 99.72%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 99.72%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 99.72%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 100.06%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 99.66%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 100.21%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 99.99%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 99.37%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 98.67%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 99.84%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 99.96%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 100.06%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 99.99%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
hopeful_einstein: CPU: 100.15%, Memory: 4.354GiB / 503.5GiB
hopeful_einstein: CPU: 100.14%, Memory: 7.204GiB / 503.5GiB
hopeful_einstein: CPU: 3175.54%, Memory: 7.626GiB / 503.5GiB
hopeful_einstein: CPU: 135.79%, Memory: 7.626GiB / 503.5GiB
hopeful_einstein: CPU: 100.08%, Memory: 7.074GiB / 503.5GiB
hopeful_einstein: CPU: 3105.41%, Memory: 7.638GiB / 503.5GiB
hopeful_einstein: CPU: 3095.35%, Memory: 7.638GiB / 503.5GiB
hopeful_einstein: CPU: 3136.78%, Memory: 7.648GiB / 503.5GiB
hopeful_einstein: CPU: 1132.95%, Memory: 7.654GiB / 503.5GiB
hopeful_einstein: CPU: 100.12%, Memory: 6.081GiB / 503.5GiB
hopeful_einstein: CPU: 100.18%, Memory: 6.081GiB / 503.5GiB
hopeful_einstein: CPU: 99.72%, Memory: 8.982GiB / 503.5GiB
hopeful_einstein: CPU: 3198.15%, Memory: 9.068GiB / 503.5GiB
hopeful_einstein: CPU: 3195.06%, Memory: 9.068GiB / 503.5GiB
hopeful_einstein: CPU: 3206.46%, Memory: 9.068GiB / 503.5GiB
hopeful_einstein: CPU: 3198.93%, Memory: 9.068GiB / 503.5GiB
hopeful_einstein: CPU: 3183.67%, Memory: 9.068GiB / 503.5GiB
hopeful_einstein: CPU: 3142.88%, Memory: 9.068GiB / 503.5GiB
hopeful_einstein: CPU: 100.04%, Memory: 4.516GiB / 503.5GiB
gifted_lovelace: CPU: 100.18%, Memory: 1.297GiB / 503.5GiB
