epic_burnell: CPU: 3195.63%, Memory: 9.013GiB / 503.5GiB
epic_burnell: CPU: 3196.12%, Memory: 9.015GiB / 503.5GiB
epic_burnell: CPU: 3199.05%, Memory: 9.017GiB / 503.5GiB
epic_burnell: CPU: 3108.56%, Memory: 9.02GiB / 503.5GiB
epic_burnell: CPU: 3140.38%, Memory: 9.02GiB / 503.5GiB
epic_burnell: CPU: 3098.46%, Memory: 9.02GiB / 503.5GiB
epic_burnell: CPU: 3157.04%, Memory: 9.024GiB / 503.5GiB
epic_burnell: CPU: 100.05%, Memory: 9.027GiB / 503.5GiB
epic_burnell: CPU: 100.03%, Memory: 9.027GiB / 503.5GiB
epic_burnell: CPU: 100.01%, Memory: 8.449GiB / 503.5GiB
epic_burnell: CPU: 100.02%, Memory: 11.53GiB / 503.5GiB
epic_burnell: CPU: 3157.82%, Memory: 12.01GiB / 503.5GiB
epic_burnell: CPU: 3163.06%, Memory: 12.01GiB / 503.5GiB
epic_burnell: CPU: 3183.91%, Memory: 12.01GiB / 503.5GiB
epic_burnell: CPU: 3195.89%, Memory: 12.01GiB / 503.5GiB
epic_burnell: CPU: 3183.15%, Memory: 12.01GiB / 503.5GiB
epic_burnell: CPU: 3208.01%, Memory: 12.01GiB / 503.5GiB
epic_burnell: CPU: 3018.61%, Memory: 12.01GiB / 503.5GiB
epic_burnell: CPU: 3168.27%, Memory: 12.01GiB / 503.5GiB
epic_burnell: CPU: 3105.22%, Memory: 12.01GiB / 503.5GiB
epic_burnell: CPU: 3174.72%, Memory: 12.01GiB / 503.5GiB
epic_burnell: CPU: 3208.05%, Memory: 12.01GiB / 503.5GiB
epic_burnell: CPU: 3196.28%, Memory: 12.01GiB / 503.5GiB
epic_burnell: CPU: 3207.45%, Memory: 12.01GiB / 503.5GiB
epic_burnell: CPU: 3195.46%, Memory: 12.01GiB / 503.5GiB
epic_burnell: CPU: 3168.97%, Memory: 12.01GiB / 503.5GiB
epic_burnell: CPU: 3194.72%, Memory: 12.01GiB / 503.5GiB
epic_burnell: CPU: 3207.02%, Memory: 12.01GiB / 503.5GiB
epic_burnell: CPU: 100.17%, Memory: 15GiB / 503.5GiB
epic_burnell: CPU: 100.08%, Memory: 9.242GiB / 503.5GiB
epic_burnell: CPU: 3188.32%, Memory: 12.12GiB / 503.5GiB
epic_burnell: CPU: 3099.28%, Memory: 12.12GiB / 503.5GiB
epic_burnell: CPU: 3103.93%, Memory: 12.12GiB / 503.5GiB
epic_burnell: CPU: 3094.54%, Memory: 12.12GiB / 503.5GiB
epic_burnell: CPU: 3165.20%, Memory: 12.12GiB / 503.5GiB
epic_burnell: CPU: 3196.76%, Memory: 12.15GiB / 503.5GiB
epic_burnell: CPU: 100.15%, Memory: 15.19GiB / 503.5GiB
epic_burnell: CPU: 671.03%, Memory: 18.09GiB / 503.5GiB
epic_burnell: CPU: 3196.22%, Memory: 18.09GiB / 503.5GiB
epic_burnell: CPU: 3207.30%, Memory: 18.09GiB / 503.5GiB
epic_burnell: CPU: 3187.79%, Memory: 18.09GiB / 503.5GiB
epic_burnell: CPU: 3165.74%, Memory: 18.09GiB / 503.5GiB
epic_burnell: CPU: 3195.80%, Memory: 18.09GiB / 503.5GiB
