elated_brown: CPU: 99.69%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 99.81%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.18%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.11%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.21%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 99.72%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.24%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.18%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.18%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 99.65%, Memory: 6.502GiB / 503.5GiB
elated_brown: CPU: 2820.78%, Memory: 7.627GiB / 503.5GiB
elated_brown: CPU: 3192.32%, Memory: 7.626GiB / 503.5GiB
elated_brown: CPU: 100.11%, Memory: 6.468GiB / 503.5GiB
elated_brown: CPU: 2403.67%, Memory: 7.639GiB / 503.5GiB
elated_brown: CPU: 3078.77%, Memory: 7.638GiB / 503.5GiB
elated_brown: CPU: 3130.07%, Memory: 7.645GiB / 503.5GiB
elated_brown: CPU: 3080.94%, Memory: 7.654GiB / 503.5GiB
elated_brown: CPU: 100.00%, Memory: 6.081GiB / 503.5GiB
elated_brown: CPU: 99.75%, Memory: 6.081GiB / 503.5GiB
