frosty_hawking: CPU: 3193.92%, Memory: 9.039GiB / 503.5GiB
frosty_hawking: CPU: 99.75%, Memory: 9.039GiB / 503.5GiB
frosty_hawking: CPU: 100.09%, Memory: 9.039GiB / 503.5GiB
frosty_hawking: CPU: 100.09%, Memory: 6.571GiB / 503.5GiB
frosty_hawking: CPU: 99.71%, Memory: 7.874GiB / 503.5GiB
frosty_hawking: CPU: 903.22%, Memory: 9.039GiB / 503.5GiB
frosty_hawking: CPU: 3175.10%, Memory: 9.039GiB / 503.5GiB
frosty_hawking: CPU: 3192.36%, Memory: 9.041GiB / 503.5GiB
frosty_hawking: CPU: 3195.63%, Memory: 9.043GiB / 503.5GiB
frosty_hawking: CPU: 3106.20%, Memory: 9.043GiB / 503.5GiB
frosty_hawking: CPU: 3094.72%, Memory: 9.044GiB / 503.5GiB
frosty_hawking: CPU: 3106.86%, Memory: 9.044GiB / 503.5GiB
frosty_hawking: CPU: 3104.42%, Memory: 9.045GiB / 503.5GiB
frosty_hawking: CPU: 3130.00%, Memory: 9.046GiB / 503.5GiB
frosty_hawking: CPU: 3193.10%, Memory: 9.046GiB / 503.5GiB
frosty_hawking: CPU: 3203.99%, Memory: 9.046GiB / 503.5GiB
frosty_hawking: CPU: 3193.51%, Memory: 9.047GiB / 503.5GiB
frosty_hawking: CPU: 3188.63%, Memory: 9.047GiB / 503.5GiB
frosty_hawking: CPU: 3191.77%, Memory: 9.048GiB / 503.5GiB
frosty_hawking: CPU: 3194.77%, Memory: 9.048GiB / 503.5GiB
frosty_hawking: CPU: 3204.31%, Memory: 9.048GiB / 503.5GiB
frosty_hawking: CPU: 409.42%, Memory: 9.048GiB / 503.5GiB
frosty_hawking: CPU: 100.12%, Memory: 9.048GiB / 503.5GiB
frosty_hawking: CPU: 100.03%, Memory: 6.745GiB / 503.5GiB
frosty_hawking: CPU: 1912.57%, Memory: 9.041GiB / 503.5GiB
frosty_hawking: CPU: 3089.25%, Memory: 9.039GiB / 503.5GiB
frosty_hawking: CPU: 3161.23%, Memory: 9.039GiB / 503.5GiB
frosty_hawking: CPU: 3089.20%, Memory: 9.039GiB / 503.5GiB
frosty_hawking: CPU: 3091.95%, Memory: 9.039GiB / 503.5GiB
frosty_hawking: CPU: 3150.09%, Memory: 9.039GiB / 503.5GiB
frosty_hawking: CPU: 3197.08%, Memory: 9.039GiB / 503.5GiB
frosty_hawking: CPU: 100.48%, Memory: 9.039GiB / 503.5GiB
serene_kare: CPU: 102.28%, Memory: 1.206GiB / 503.5GiB
serene_kare: CPU: 100.16%, Memory: 2.99GiB / 503.5GiB
serene_kare: CPU: 100.06%, Memory: 2.99GiB / 503.5GiB
serene_kare: CPU: 99.67%, Memory: 2.99GiB / 503.5GiB
serene_kare: CPU: 100.17%, Memory: 2.99GiB / 503.5GiB
serene_kare: CPU: 99.93%, Memory: 2.99GiB / 503.5GiB
serene_kare: CPU: 99.72%, Memory: 2.99GiB / 503.5GiB
