zealous_shockley: CPU: 563.35%, Memory: 2.288GiB / 503.5GiB
zealous_shockley: CPU: 3177.83%, Memory: 2.301GiB / 503.5GiB
zealous_shockley: CPU: 3194.99%, Memory: 2.303GiB / 503.5GiB
zealous_shockley: CPU: 375.66%, Memory: 2.298GiB / 503.5GiB
zealous_shockley: CPU: 800.64%, Memory: 597.4MiB / 503.5GiB
great_elbakyan: CPU: 100.15%, Memory: 769.1MiB / 503.5GiB
great_elbakyan: CPU: 100.30%, Memory: 768.5MiB / 503.5GiB
great_elbakyan: CPU: 100.15%, Memory: 768.5MiB / 503.5GiB
great_elbakyan: CPU: 99.93%, Memory: 768.5MiB / 503.5GiB
great_elbakyan: CPU: 99.75%, Memory: 768.4MiB / 503.5GiB
great_elbakyan: CPU: 433.76%, Memory: 2.288GiB / 503.5GiB
great_elbakyan: CPU: 100.11%, Memory: 1.715GiB / 503.5GiB
great_elbakyan: CPU: 3205.79%, Memory: 2.301GiB / 503.5GiB
great_elbakyan: CPU: 3209.12%, Memory: 2.303GiB / 503.5GiB
great_elbakyan: CPU: 865.00%, Memory: 2.298GiB / 503.5GiB
great_elbakyan: CPU: 1524.38%, Memory: 2.298GiB / 503.5GiB
hardcore_fermat: CPU: 100.52%, Memory: 768.6MiB / 503.5GiB
hardcore_fermat: CPU: 100.21%, Memory: 768.5MiB / 503.5GiB
hardcore_fermat: CPU: 100.15%, Memory: 768.5MiB / 503.5GiB
hardcore_fermat: CPU: 99.59%, Memory: 768.5MiB / 503.5GiB
hardcore_fermat: CPU: 100.15%, Memory: 768.5MiB / 503.5GiB
hardcore_fermat: CPU: 100.15%, Memory: 2.163GiB / 503.5GiB
hardcore_fermat: CPU: 100.15%, Memory: 1.59GiB / 503.5GiB
hardcore_fermat: CPU: 3200.46%, Memory: 2.301GiB / 503.5GiB
hardcore_fermat: CPU: 3193.76%, Memory: 2.303GiB / 503.5GiB
hardcore_fermat: CPU: 1532.61%, Memory: 2.298GiB / 503.5GiB
