unruffled_shirley: CPU: 100.18%, Memory: 4.522GiB / 503.5GiB
unruffled_shirley: CPU: 100.40%, Memory: 5.975GiB / 503.5GiB
unruffled_shirley: CPU: 1601.41%, Memory: 9.025GiB / 503.5GiB
unruffled_shirley: CPU: 1601.22%, Memory: 9.03GiB / 503.5GiB
unruffled_shirley: CPU: 1601.32%, Memory: 9.033GiB / 503.5GiB
unruffled_shirley: CPU: 1595.76%, Memory: 9.037GiB / 503.5GiB
unruffled_shirley: CPU: 1600.81%, Memory: 9.048GiB / 503.5GiB
unruffled_shirley: CPU: 1577.95%, Memory: 9.153GiB / 503.5GiB
unruffled_shirley: CPU: 1601.03%, Memory: 9.118GiB / 503.5GiB
unruffled_shirley: CPU: 1598.57%, Memory: 9.21GiB / 503.5GiB
unruffled_shirley: CPU: 1594.86%, Memory: 9.217GiB / 503.5GiB
unruffled_shirley: CPU: 1598.47%, Memory: 9.196GiB / 503.5GiB
unruffled_shirley: CPU: 1596.90%, Memory: 9.245GiB / 503.5GiB
unruffled_shirley: CPU: 1605.95%, Memory: 9.254GiB / 503.5GiB
unruffled_shirley: CPU: 1288.69%, Memory: 7.98GiB / 503.5GiB
unruffled_shirley: CPU: 1271.41%, Memory: 7.98GiB / 503.5GiB
silly_cannon: CPU: 100.55%, Memory: 2.928GiB / 503.5GiB
silly_cannon: CPU: 100.24%, Memory: 5.975GiB / 503.5GiB
silly_cannon: CPU: 1312.77%, Memory: 9.025GiB / 503.5GiB
silly_cannon: CPU: 1601.46%, Memory: 9.029GiB / 503.5GiB
silly_cannon: CPU: 1602.12%, Memory: 9.031GiB / 503.5GiB
silly_cannon: CPU: 1596.27%, Memory: 9.035GiB / 503.5GiB
silly_cannon: CPU: 1601.29%, Memory: 9.041GiB / 503.5GiB
silly_cannon: CPU: 974.41%, Memory: 9.053GiB / 503.5GiB
silly_cannon: CPU: 1589.93%, Memory: 9.172GiB / 503.5GiB
silly_cannon: CPU: 1605.67%, Memory: 9.166GiB / 503.5GiB
