gallant_buck: CPU: 1616.19%, Memory: 3.448GiB / 503.5GiB
gallant_buck: CPU: 100.03%, Memory: 3.477GiB / 503.5GiB
gallant_buck: CPU: 3191.65%, Memory: 3.786GiB / 503.5GiB
gallant_buck: CPU: 3178.29%, Memory: 3.786GiB / 503.5GiB
gallant_buck: CPU: 3190.78%, Memory: 3.785GiB / 503.5GiB
gallant_buck: CPU: 3194.20%, Memory: 3.785GiB / 503.5GiB
gallant_buck: CPU: 100.21%, Memory: 2.909GiB / 503.5GiB
gallant_buck: CPU: 3183.14%, Memory: 3.037GiB / 503.5GiB
zealous_wiles: CPU: 143.02%, Memory: 768.8MiB / 503.5GiB
zealous_wiles: CPU: 100.00%, Memory: 768.4MiB / 503.5GiB
zealous_wiles: CPU: 100.15%, Memory: 768.4MiB / 503.5GiB
zealous_wiles: CPU: 100.12%, Memory: 768.4MiB / 503.5GiB
zealous_wiles: CPU: 100.03%, Memory: 768.4MiB / 503.5GiB
zealous_wiles: CPU: 100.06%, Memory: 768.4MiB / 503.5GiB
zealous_wiles: CPU: 2478.55%, Memory: 2.266GiB / 503.5GiB
zealous_wiles: CPU: 3076.40%, Memory: 2.267GiB / 503.5GiB
zealous_wiles: CPU: 3184.37%, Memory: 2.273GiB / 503.5GiB
zealous_wiles: CPU: 1032.50%, Memory: 2.28GiB / 503.5GiB
zealous_wiles: CPU: 99.75%, Memory: 3.371GiB / 503.5GiB
zealous_wiles: CPU: 100.12%, Memory: 2.355GiB / 503.5GiB
zealous_wiles: CPU: 1216.59%, Memory: 3.786GiB / 503.5GiB
zealous_wiles: CPU: 3192.76%, Memory: 3.786GiB / 503.5GiB
zealous_wiles: CPU: 3192.03%, Memory: 3.785GiB / 503.5GiB
zealous_wiles: CPU: 3192.55%, Memory: 3.785GiB / 503.5GiB
zealous_wiles: CPU: 3187.62%, Memory: 3.785GiB / 503.5GiB
zealous_wiles: CPU: 102.75%, Memory: 3.12GiB / 503.5GiB
zealous_wiles: CPU: 3183.02%, Memory: 3.037GiB / 503.5GiB
xenodochial_mclean: CPU: 105.60%, Memory: 768.5MiB / 503.5GiB
xenodochial_mclean: CPU: 100.20%, Memory: 768.4MiB / 503.5GiB
xenodochial_mclean: CPU: 100.20%, Memory: 768.4MiB / 503.5GiB
xenodochial_mclean: CPU: 100.11%, Memory: 768.4MiB / 503.5GiB
