musing_chatelet: CPU: 100.05%, Memory: 789.6MiB / 503.5GiB
musing_chatelet: CPU: 3031.99%, Memory: 2.288GiB / 503.5GiB
musing_chatelet: CPU: 347.79%, Memory: 2.3GiB / 503.5GiB
musing_chatelet: CPU: 3195.82%, Memory: 2.302GiB / 503.5GiB
musing_chatelet: CPU: 3192.41%, Memory: 2.303GiB / 503.5GiB
musing_chatelet: CPU: 2424.26%, Memory: 2.298GiB / 503.5GiB
laughing_curie: CPU: 123.98%, Memory: 768.5MiB / 503.5GiB
laughing_curie: CPU: 100.15%, Memory: 768.4MiB / 503.5GiB
laughing_curie: CPU: 99.96%, Memory: 768.4MiB / 503.5GiB
laughing_curie: CPU: 100.02%, Memory: 768.4MiB / 503.5GiB
laughing_curie: CPU: 100.15%, Memory: 768.4MiB / 503.5GiB
laughing_curie: CPU: 100.09%, Memory: 768.4MiB / 503.5GiB
laughing_curie: CPU: 2761.54%, Memory: 2.288GiB / 503.5GiB
laughing_curie: CPU: 100.08%, Memory: 2.262GiB / 503.5GiB
laughing_curie: CPU: 3194.39%, Memory: 2.302GiB / 503.5GiB
laughing_curie: CPU: 1107.95%, Memory: 2.303GiB / 503.5GiB
laughing_curie: CPU: 2973.15%, Memory: 2.298GiB / 503.5GiB
interesting_blackwell: CPU: 167.47%, Memory: 769.1MiB / 503.5GiB
interesting_blackwell: CPU: 100.15%, Memory: 768.4MiB / 503.5GiB
interesting_blackwell: CPU: 100.15%, Memory: 768.4MiB / 503.5GiB
interesting_blackwell: CPU: 100.12%, Memory: 768.4MiB / 503.5GiB
interesting_blackwell: CPU: 100.02%, Memory: 768.4MiB / 503.5GiB
interesting_blackwell: CPU: 100.15%, Memory: 783.1MiB / 503.5GiB
interesting_blackwell: CPU: 2871.48%, Memory: 2.289GiB / 503.5GiB
interesting_blackwell: CPU: 100.09%, Memory: 2.276GiB / 503.5GiB
interesting_blackwell: CPU: 3193.70%, Memory: 2.302GiB / 503.5GiB
interesting_blackwell: CPU: 1280.74%, Memory: 2.303GiB / 503.5GiB
interesting_blackwell: CPU: 3196.01%, Memory: 2.298GiB / 503.5GiB
