beautiful_proskuriakova: CPU: 1599.97%, Memory: 9.036GiB / 503.5GiB
beautiful_proskuriakova: CPU: 1599.62%, Memory: 7.979GiB / 503.5GiB
sleepy_ganguly: CPU: 100.02%, Memory: 2.968GiB / 503.5GiB
sleepy_ganguly: CPU: 100.27%, Memory: 5.975GiB / 503.5GiB
sleepy_ganguly: CPU: 1383.88%, Memory: 9.024GiB / 503.5GiB
sleepy_ganguly: CPU: 1601.36%, Memory: 9.027GiB / 503.5GiB
sleepy_ganguly: CPU: 1601.54%, Memory: 9.032GiB / 503.5GiB
sleepy_ganguly: CPU: 1604.34%, Memory: 9.035GiB / 503.5GiB
sleepy_ganguly: CPU: 1599.84%, Memory: 9.041GiB / 503.5GiB
sleepy_ganguly: CPU: 903.77%, Memory: 9.058GiB / 503.5GiB
sleepy_ganguly: CPU: 1592.75%, Memory: 9.172GiB / 503.5GiB
sleepy_ganguly: CPU: 1599.55%, Memory: 9.186GiB / 503.5GiB
sleepy_ganguly: CPU: 1599.39%, Memory: 9.217GiB / 503.5GiB
sleepy_ganguly: CPU: 1594.53%, Memory: 9.195GiB / 503.5GiB
sleepy_ganguly: CPU: 1600.28%, Memory: 9.241GiB / 503.5GiB
sleepy_ganguly: CPU: 1597.31%, Memory: 9.374GiB / 503.5GiB
sleepy_ganguly: CPU: 1596.38%, Memory: 9.255GiB / 503.5GiB
sleepy_ganguly: CPU: 1603.27%, Memory: 7.985GiB / 503.5GiB
frosty_matsumoto: CPU: 100.15%, Memory: 2.968GiB / 503.5GiB
frosty_matsumoto: CPU: 100.24%, Memory: 5.975GiB / 503.5GiB
frosty_matsumoto: CPU: 1339.63%, Memory: 9.024GiB / 503.5GiB
frosty_matsumoto: CPU: 1596.64%, Memory: 9.029GiB / 503.5GiB
frosty_matsumoto: CPU: 1596.50%, Memory: 9.032GiB / 503.5GiB
frosty_matsumoto: CPU: 1604.38%, Memory: 9.036GiB / 503.5GiB
frosty_matsumoto: CPU: 1600.45%, Memory: 9.042GiB / 503.5GiB
frosty_matsumoto: CPU: 1299.74%, Memory: 9.064GiB / 503.5GiB
frosty_matsumoto: CPU: 1592.82%, Memory: 9.174GiB / 503.5GiB
frosty_matsumoto: CPU: 1596.13%, Memory: 9.197GiB / 503.5GiB
frosty_matsumoto: CPU: 1601.56%, Memory: 9.213GiB / 503.5GiB
frosty_matsumoto: CPU: 1596.72%, Memory: 9.226GiB / 503.5GiB
frosty_matsumoto: CPU: 1598.45%, Memory: 9.238GiB / 503.5GiB
frosty_matsumoto: CPU: 1600.83%, Memory: 9.251GiB / 503.5GiB
