laughing_mclaren: CPU: 2581.01%, Memory: 2.281GiB / 503.5GiB
laughing_mclaren: CPU: 100.18%, Memory: 3.053GiB / 503.5GiB
laughing_mclaren: CPU: 259.30%, Memory: 3.448GiB / 503.5GiB
laughing_mclaren: CPU: 100.12%, Memory: 3.652GiB / 503.5GiB
laughing_mclaren: CPU: 3155.98%, Memory: 3.785GiB / 503.5GiB
laughing_mclaren: CPU: 3193.30%, Memory: 3.785GiB / 503.5GiB
laughing_mclaren: CPU: 3192.26%, Memory: 3.785GiB / 503.5GiB
laughing_mclaren: CPU: 3195.93%, Memory: 3.786GiB / 503.5GiB
laughing_mclaren: CPU: 2394.21%, Memory: 3.786GiB / 503.5GiB
laughing_mclaren: CPU: 3193.71%, Memory: 3.037GiB / 503.5GiB
kind_elion: CPU: 103.53%, Memory: 768.8MiB / 503.5GiB
kind_elion: CPU: 99.87%, Memory: 768.5MiB / 503.5GiB
kind_elion: CPU: 100.02%, Memory: 768.5MiB / 503.5GiB
kind_elion: CPU: 100.09%, Memory: 768.5MiB / 503.5GiB
kind_elion: CPU: 100.02%, Memory: 768.5MiB / 503.5GiB
kind_elion: CPU: 99.99%, Memory: 2.035GiB / 503.5GiB
kind_elion: CPU: 3149.44%, Memory: 2.268GiB / 503.5GiB
kind_elion: CPU: 3094.41%, Memory: 2.269GiB / 503.5GiB
kind_elion: CPU: 3106.06%, Memory: 2.275GiB / 503.5GiB
kind_elion: CPU: 402.07%, Memory: 2.253GiB / 503.5GiB
kind_elion: CPU: 741.97%, Memory: 3.449GiB / 503.5GiB
kind_elion: CPU: 100.08%, Memory: 2.536GiB / 503.5GiB
kind_elion: CPU: 2081.44%, Memory: 3.786GiB / 503.5GiB
kind_elion: CPU: 3193.80%, Memory: 3.786GiB / 503.5GiB
kind_elion: CPU: 3207.62%, Memory: 3.785GiB / 503.5GiB
kind_elion: CPU: 3194.53%, Memory: 3.785GiB / 503.5GiB
kind_elion: CPU: 100.11%, Memory: 2.434GiB / 503.5GiB
kind_elion: CPU: 2739.49%, Memory: 3.037GiB / 503.5GiB
adoring_merkle: CPU: 151.16%, Memory: 768.5MiB / 503.5GiB
adoring_merkle: CPU: 99.69%, Memory: 768.4MiB / 503.5GiB
adoring_merkle: CPU: 100.15%, Memory: 768.4MiB / 503.5GiB
adoring_merkle: CPU: 100.18%, Memory: 768.4MiB / 503.5GiB
adoring_merkle: CPU: 99.28%, Memory: 768.4MiB / 503.5GiB
adoring_merkle: CPU: 100.02%, Memory: 2.008GiB / 503.5GiB
adoring_merkle: CPU: 3144.59%, Memory: 2.267GiB / 503.5GiB
adoring_merkle: CPU: 3197.56%, Memory: 2.269GiB / 503.5GiB
adoring_merkle: CPU: 3194.49%, Memory: 2.277GiB / 503.5GiB
adoring_merkle: CPU: 100.05%, Memory: 2.629GiB / 503.5GiB
adoring_merkle: CPU: 1236.45%, Memory: 3.448GiB / 503.5GiB
adoring_merkle: CPU: 99.69%, Memory: 3.694GiB / 503.5GiB
adoring_merkle: CPU: 3187.84%, Memory: 3.786GiB / 503.5GiB
adoring_merkle: CPU: 3189.49%, Memory: 3.786GiB / 503.5GiB
adoring_merkle: CPU: 3173.47%, Memory: 3.786GiB / 503.5GiB
adoring_merkle: CPU: 3190.09%, Memory: 3.786GiB / 503.5GiB
adoring_merkle: CPU: 1634.83%, Memory: 3.785GiB / 503.5GiB
adoring_merkle: CPU: 3209.96%, Memory: 3.037GiB / 503.5GiB
gracious_beaver: CPU: 105.21%, Memory: 768.5MiB / 503.5GiB
gracious_beaver: CPU: 99.98%, Memory: 768.4MiB / 503.5GiB
gracious_beaver: CPU: 99.34%, Memory: 768.4MiB / 503.5GiB
gracious_beaver: CPU: 100.02%, Memory: 768.4MiB / 503.5GiB
gracious_beaver: CPU: 99.62%, Memory: 768.4MiB / 503.5GiB
gracious_beaver: CPU: 99.99%, Memory: 1.762GiB / 503.5GiB
gracious_beaver: CPU: 3190.19%, Memory: 2.266GiB / 503.5GiB
gracious_beaver: CPU: 3189.26%, Memory: 2.27GiB / 503.5GiB
gracious_beaver: CPU: 1866.76%, Memory: 2.282GiB / 503.5GiB
gracious_beaver: CPU: 100.12%, Memory: 3.135GiB / 503.5GiB
gracious_beaver: CPU: 206.17%, Memory: 3.447GiB / 503.5GiB
gracious_beaver: CPU: 100.09%, Memory: 3.769GiB / 503.5GiB
gracious_beaver: CPU: 3192.12%, Memory: 3.785GiB / 503.5GiB
gracious_beaver: CPU: 3205.19%, Memory: 3.785GiB / 503.5GiB
gracious_beaver: CPU: 3194.55%, Memory: 3.785GiB / 503.5GiB
gracious_beaver: CPU: 3090.42%, Memory: 3.785GiB / 503.5GiB
gracious_beaver: CPU: 1430.37%, Memory: 3.785GiB / 503.5GiB
gracious_beaver: CPU: 3086.79%, Memory: 3.038GiB / 503.5GiB
confident_wu: CPU: 171.12%, Memory: 769.2MiB / 503.5GiB
confident_wu: CPU: 100.06%, Memory: 768.9MiB / 503.5GiB
confident_wu: CPU: 99.69%, Memory: 768.5MiB / 503.5GiB
confident_wu: CPU: 100.06%, Memory: 768.5MiB / 503.5GiB
confident_wu: CPU: 100.18%, Memory: 768.5MiB / 503.5GiB
