crazy_poitras: CPU: 100.77%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 100.90%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 99.99%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 99.89%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 99.22%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 101.22%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 100.18%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 99.84%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 99.75%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 100.33%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 100.46%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 103.10%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 101.26%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 102.04%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 100.56%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 100.75%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 100.81%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 101.00%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 100.58%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 100.75%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 99.93%, Memory: 5.974GiB / 251.5GiB
crazy_poitras: CPU: 907.97%, Memory: 9.027GiB / 251.5GiB
crazy_poitras: CPU: 1579.43%, Memory: 9.027GiB / 251.5GiB
crazy_poitras: CPU: 1558.11%, Memory: 9.027GiB / 251.5GiB
crazy_poitras: CPU: 1558.80%, Memory: 9.027GiB / 251.5GiB
crazy_poitras: CPU: 1556.52%, Memory: 9.027GiB / 251.5GiB
crazy_poitras: CPU: 1551.08%, Memory: 9.027GiB / 251.5GiB
crazy_poitras: CPU: 1552.60%, Memory: 9.027GiB / 251.5GiB
crazy_poitras: CPU: 1494.60%, Memory: 9.027GiB / 251.5GiB
crazy_poitras: CPU: 1526.91%, Memory: 9.027GiB / 251.5GiB
crazy_poitras: CPU: 1554.15%, Memory: 9.027GiB / 251.5GiB
crazy_poitras: CPU: 1551.94%, Memory: 9.027GiB / 251.5GiB
crazy_poitras: CPU: 1547.37%, Memory: 9.027GiB / 251.5GiB
crazy_poitras: CPU: 1558.30%, Memory: 9.027GiB / 251.5GiB
condescending_noyce: CPU: 156.10%, Memory: 1.701GiB / 251.5GiB
condescending_noyce: CPU: 100.18%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 100.69%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 101.24%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 101.03%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 101.20%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 100.28%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 100.28%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 100.12%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 99.87%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 101.07%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 100.02%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 99.50%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 99.44%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 100.14%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 101.71%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 102.69%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 102.38%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 101.01%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 100.82%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 101.19%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 101.73%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 99.19%, Memory: 2.988GiB / 251.5GiB
condescending_noyce: CPU: 100.16%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 100.00%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 101.03%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 100.25%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 99.80%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 100.73%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 99.25%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 100.71%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 100.97%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 99.75%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 99.93%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 100.27%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 99.53%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 102.11%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 102.05%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 101.45%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 100.56%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 100.75%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 101.33%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 100.27%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 99.71%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 101.06%, Memory: 5.974GiB / 251.5GiB
condescending_noyce: CPU: 464.36%, Memory: 9.027GiB / 251.5GiB
condescending_noyce: CPU: 1570.35%, Memory: 9.027GiB / 251.5GiB
condescending_noyce: CPU: 1533.08%, Memory: 9.027GiB / 251.5GiB
condescending_noyce: CPU: 1552.39%, Memory: 9.027GiB / 251.5GiB
condescending_noyce: CPU: 1579.79%, Memory: 9.027GiB / 251.5GiB
condescending_noyce: CPU: 1581.12%, Memory: 9.027GiB / 251.5GiB
condescending_noyce: CPU: 1580.81%, Memory: 9.027GiB / 251.5GiB
condescending_noyce: CPU: 1537.97%, Memory: 9.027GiB / 251.5GiB
condescending_noyce: CPU: 1539.59%, Memory: 9.027GiB / 251.5GiB
condescending_noyce: CPU: 1558.75%, Memory: 9.027GiB / 251.5GiB
condescending_noyce: CPU: 1548.60%, Memory: 9.027GiB / 251.5GiB
condescending_noyce: CPU: 1550.49%, Memory: 9.027GiB / 251.5GiB
condescending_noyce: CPU: 1547.93%, Memory: 9.027GiB / 251.5GiB
cranky_robinson1: CPU: 145.83%, Memory: 1.727GiB / 251.5GiB
