flamboyant_wilson: CPU: 1556.02%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1509.37%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1550.71%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1579.87%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1506.21%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1585.03%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1551.47%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1548.89%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1548.92%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1549.69%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 791.23%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 100.77%, Memory: 12.02GiB / 251.5GiB
flamboyant_wilson: CPU: 1550.74%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1550.71%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1547.11%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1578.16%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1572.91%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1549.79%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1582.50%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1516.86%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1550.51%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1531.83%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1548.72%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1485.43%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 102.57%, Memory: 13.52GiB / 251.5GiB
stoic_aryabhata: CPU: 100.58%, Memory: 1.457GiB / 251.5GiB
stoic_aryabhata: CPU: 101.22%, Memory: 4.374GiB / 251.5GiB
stoic_aryabhata: CPU: 99.49%, Memory: 4.581GiB / 251.5GiB
stoic_aryabhata: CPU: 99.87%, Memory: 4.586GiB / 251.5GiB
stoic_aryabhata: CPU: 627.17%, Memory: 9.038GiB / 251.5GiB
stoic_aryabhata: CPU: 1580.87%, Memory: 9.038GiB / 251.5GiB
stoic_aryabhata: CPU: 1563.05%, Memory: 9.038GiB / 251.5GiB
stoic_aryabhata: CPU: 1533.12%, Memory: 9.038GiB / 251.5GiB
stoic_aryabhata: CPU: 1579.83%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1587.65%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1583.28%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1581.99%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1580.52%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1580.75%, Memory: 9.039GiB / 251.5GiB
stoic_aryabhata: CPU: 1583.67%, Memory: 9.039GiB / 251.5GiB
