nostalgic_einstein: CPU: 1558.71%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1537.42%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1565.26%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1523.78%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1566.78%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1519.12%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1576.03%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1527.54%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1563.13%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1549.23%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1571.48%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1583.42%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1549.04%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1542.72%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1567.14%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1539.55%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1561.00%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1510.49%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1573.82%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1554.79%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1532.33%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1538.14%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1553.91%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1571.18%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1562.31%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1547.98%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1550.05%, Memory: 386MiB / 251.5GiB
nostalgic_einstein: CPU: 1486.68%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 167.90%, Memory: 384.7MiB / 251.5GiB
quizzical_swanson: CPU: 101.78%, Memory: 384.6MiB / 251.5GiB
quizzical_swanson: CPU: 1542.32%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1547.20%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1524.33%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1562.23%, Memory: 386MiB / 251.5GiB
quizzical_swanson: CPU: 1526.24%, Memory: 386MiB / 251.5GiB
