focused_dhawan: CPU: 799.23%, Memory: 7.807GiB / 251.5GiB
focused_dhawan: CPU: 799.41%, Memory: 7.807GiB / 251.5GiB
focused_dhawan: CPU: 800.66%, Memory: 7.809GiB / 251.5GiB
focused_dhawan: CPU: 799.95%, Memory: 7.809GiB / 251.5GiB
focused_dhawan: CPU: 100.27%, Memory: 6.237GiB / 251.5GiB
focused_dhawan: CPU: 582.78%, Memory: 9.242GiB / 251.5GiB
focused_dhawan: CPU: 797.46%, Memory: 9.241GiB / 251.5GiB
focused_dhawan: CPU: 799.96%, Memory: 9.241GiB / 251.5GiB
focused_dhawan: CPU: 797.95%, Memory: 9.241GiB / 251.5GiB
focused_dhawan: CPU: 800.59%, Memory: 9.241GiB / 251.5GiB
focused_dhawan: CPU: 802.08%, Memory: 9.241GiB / 251.5GiB
focused_dhawan: CPU: 799.23%, Memory: 9.241GiB / 251.5GiB
focused_dhawan: CPU: 802.09%, Memory: 9.241GiB / 251.5GiB
focused_dhawan: CPU: 797.87%, Memory: 9.241GiB / 251.5GiB
epic_gagarin: CPU: 100.20%, Memory: 2.958GiB / 251.5GiB
epic_gagarin: CPU: 99.87%, Memory: 5.975GiB / 251.5GiB
epic_gagarin: CPU: 100.27%, Memory: 5.975GiB / 251.5GiB
epic_gagarin: CPU: 803.10%, Memory: 7.597GiB / 251.5GiB
epic_gagarin: CPU: 798.45%, Memory: 7.597GiB / 251.5GiB
epic_gagarin: CPU: 801.69%, Memory: 7.807GiB / 251.5GiB
epic_gagarin: CPU: 800.68%, Memory: 7.806GiB / 251.5GiB
epic_gagarin: CPU: 797.97%, Memory: 7.808GiB / 251.5GiB
epic_gagarin: CPU: 800.44%, Memory: 7.808GiB / 251.5GiB
epic_gagarin: CPU: 476.10%, Memory: 6.237GiB / 251.5GiB
epic_gagarin: CPU: 127.70%, Memory: 9.242GiB / 251.5GiB
epic_gagarin: CPU: 802.15%, Memory: 9.241GiB / 251.5GiB
epic_gagarin: CPU: 803.16%, Memory: 9.241GiB / 251.5GiB
epic_gagarin: CPU: 797.97%, Memory: 9.24GiB / 251.5GiB
epic_gagarin: CPU: 797.42%, Memory: 9.24GiB / 251.5GiB
epic_gagarin: CPU: 798.45%, Memory: 9.24GiB / 251.5GiB
epic_gagarin: CPU: 797.44%, Memory: 9.24GiB / 251.5GiB
epic_gagarin: CPU: 799.63%, Memory: 9.24GiB / 251.5GiB
epic_gagarin: CPU: 800.63%, Memory: 9.24GiB / 251.5GiB
nifty_swanson: CPU: 100.02%, Memory: 3.69GiB / 251.5GiB
nifty_swanson: CPU: 100.08%, Memory: 5.975GiB / 251.5GiB
nifty_swanson: CPU: 99.93%, Memory: 5.975GiB / 251.5GiB
nifty_swanson: CPU: 802.65%, Memory: 7.597GiB / 251.5GiB
nifty_swanson: CPU: 804.54%, Memory: 6.414GiB / 251.5GiB
nifty_swanson: CPU: 799.64%, Memory: 7.831GiB / 251.5GiB
nifty_swanson: CPU: 799.68%, Memory: 7.831GiB / 251.5GiB
nifty_swanson: CPU: 799.43%, Memory: 7.832GiB / 251.5GiB
nifty_swanson: CPU: 799.71%, Memory: 7.832GiB / 251.5GiB
nifty_swanson: CPU: 522.50%, Memory: 6.261GiB / 251.5GiB
nifty_swanson: CPU: 100.02%, Memory: 8.88GiB / 251.5GiB
nifty_swanson: CPU: 800.62%, Memory: 9.265GiB / 251.5GiB
nifty_swanson: CPU: 797.43%, Memory: 9.265GiB / 251.5GiB
nifty_swanson: CPU: 801.65%, Memory: 9.265GiB / 251.5GiB
nifty_swanson: CPU: 800.43%, Memory: 9.265GiB / 251.5GiB
nifty_swanson: CPU: 798.95%, Memory: 9.265GiB / 251.5GiB
nifty_swanson: CPU: 797.95%, Memory: 9.265GiB / 251.5GiB
nifty_swanson: CPU: 801.66%, Memory: 9.265GiB / 251.5GiB
nifty_swanson: CPU: 801.50%, Memory: 9.265GiB / 251.5GiB
focused_allen: CPU: 100.21%, Memory: 3.403GiB / 251.5GiB
focused_allen: CPU: 100.15%, Memory: 5.975GiB / 251.5GiB
focused_allen: CPU: 100.21%, Memory: 5.975GiB / 251.5GiB
focused_allen: CPU: 801.10%, Memory: 7.597GiB / 251.5GiB
focused_allen: CPU: 801.88%, Memory: 7.597GiB / 251.5GiB
focused_allen: CPU: 800.85%, Memory: 7.808GiB / 251.5GiB
focused_allen: CPU: 801.06%, Memory: 7.808GiB / 251.5GiB
focused_allen: CPU: 799.79%, Memory: 7.81GiB / 251.5GiB
focused_allen: CPU: 801.13%, Memory: 7.81GiB / 251.5GiB
focused_allen: CPU: 228.59%, Memory: 6.238GiB / 251.5GiB
focused_allen: CPU: 331.27%, Memory: 9.243GiB / 251.5GiB
focused_allen: CPU: 802.65%, Memory: 9.242GiB / 251.5GiB
focused_allen: CPU: 802.16%, Memory: 9.242GiB / 251.5GiB
focused_allen: CPU: 798.40%, Memory: 9.242GiB / 251.5GiB
focused_allen: CPU: 797.91%, Memory: 9.242GiB / 251.5GiB
focused_allen: CPU: 799.39%, Memory: 9.242GiB / 251.5GiB
focused_allen: CPU: 801.56%, Memory: 9.242GiB / 251.5GiB
focused_allen: CPU: 797.87%, Memory: 9.242GiB / 251.5GiB
focused_allen: CPU: 797.76%, Memory: 9.242GiB / 251.5GiB
wizardly_roentgen: CPU: 99.86%, Memory: 2.966GiB / 251.5GiB
wizardly_roentgen: CPU: 99.81%, Memory: 5.975GiB / 251.5GiB
wizardly_roentgen: CPU: 100.21%, Memory: 5.975GiB / 251.5GiB
wizardly_roentgen: CPU: 799.46%, Memory: 7.597GiB / 251.5GiB
wizardly_roentgen: CPU: 797.90%, Memory: 7.597GiB / 251.5GiB
wizardly_roentgen: CPU: 801.59%, Memory: 7.807GiB / 251.5GiB
wizardly_roentgen: CPU: 800.55%, Memory: 7.807GiB / 251.5GiB
wizardly_roentgen: CPU: 796.45%, Memory: 7.809GiB / 251.5GiB
wizardly_roentgen: CPU: 796.87%, Memory: 7.809GiB / 251.5GiB
wizardly_roentgen: CPU: 715.22%, Memory: 6.238GiB / 251.5GiB
wizardly_roentgen: CPU: 99.68%, Memory: 8.256GiB / 251.5GiB
wizardly_roentgen: CPU: 803.66%, Memory: 9.244GiB / 251.5GiB
wizardly_roentgen: CPU: 798.46%, Memory: 9.243GiB / 251.5GiB
wizardly_roentgen: CPU: 799.93%, Memory: 9.243GiB / 251.5GiB
wizardly_roentgen: CPU: 797.47%, Memory: 9.243GiB / 251.5GiB
wizardly_roentgen: CPU: 797.46%, Memory: 9.243GiB / 251.5GiB
wizardly_roentgen: CPU: 797.91%, Memory: 9.243GiB / 251.5GiB
wizardly_roentgen: CPU: 799.36%, Memory: 9.243GiB / 251.5GiB
wizardly_roentgen: CPU: 802.47%, Memory: 9.242GiB / 251.5GiB
fervent_franklin: CPU: 100.32%, Memory: 2.961GiB / 251.5GiB
fervent_franklin: CPU: 99.87%, Memory: 5.975GiB / 251.5GiB
fervent_franklin: CPU: 99.74%, Memory: 5.975GiB / 251.5GiB
fervent_franklin: CPU: 799.93%, Memory: 7.597GiB / 251.5GiB
fervent_franklin: CPU: 802.13%, Memory: 7.597GiB / 251.5GiB
fervent_franklin: CPU: 799.45%, Memory: 7.816GiB / 251.5GiB
fervent_franklin: CPU: 799.20%, Memory: 7.815GiB / 251.5GiB
fervent_franklin: CPU: 795.85%, Memory: 7.817GiB / 251.5GiB
fervent_franklin: CPU: 796.98%, Memory: 7.817GiB / 251.5GiB
fervent_franklin: CPU: 797.90%, Memory: 6.824GiB / 251.5GiB
fervent_franklin: CPU: 100.15%, Memory: 7.554GiB / 251.5GiB
fervent_franklin: CPU: 796.97%, Memory: 9.25GiB / 251.5GiB
fervent_franklin: CPU: 797.46%, Memory: 9.25GiB / 251.5GiB
fervent_franklin: CPU: 797.46%, Memory: 9.25GiB / 251.5GiB
fervent_franklin: CPU: 803.16%, Memory: 9.25GiB / 251.5GiB
fervent_franklin: CPU: 803.17%, Memory: 9.25GiB / 251.5GiB
fervent_franklin: CPU: 803.15%, Memory: 9.25GiB / 251.5GiB
fervent_franklin: CPU: 803.17%, Memory: 9.25GiB / 251.5GiB
fervent_franklin: CPU: 799.45%, Memory: 9.25GiB / 251.5GiB
