competent_newton: CPU: 163.84%, Memory: 1.353GiB / 251.5GiB
competent_newton: CPU: 209.16%, Memory: 1.54GiB / 251.5GiB
competent_newton: CPU: 152.36%, Memory: 1.57GiB / 251.5GiB
competent_newton: CPU: 156.98%, Memory: 1.675GiB / 251.5GiB
competent_newton: CPU: 110.59%, Memory: 1.917GiB / 251.5GiB
competent_newton: CPU: 176.64%, Memory: 2.055GiB / 251.5GiB
competent_newton: CPU: 174.09%, Memory: 2.055GiB / 251.5GiB
competent_newton: CPU: 225.85%, Memory: 2.055GiB / 251.5GiB
competent_newton: CPU: 170.76%, Memory: 2.055GiB / 251.5GiB
competent_newton: CPU: 195.21%, Memory: 2.055GiB / 251.5GiB
competent_newton: CPU: 154.56%, Memory: 2.055GiB / 251.5GiB
competent_newton: CPU: 173.47%, Memory: 2.055GiB / 251.5GiB
competent_newton: CPU: 173.46%, Memory: 2.055GiB / 251.5GiB
competent_newton: CPU: 155.27%, Memory: 2.058GiB / 251.5GiB
competent_newton: CPU: 143.35%, Memory: 2.058GiB / 251.5GiB
competent_newton: CPU: 171.70%, Memory: 2.058GiB / 251.5GiB
competent_newton: CPU: 179.51%, Memory: 1.871GiB / 251.5GiB
competent_newton: CPU: 170.41%, Memory: 1018MiB / 251.5GiB
competent_newton: CPU: 177.60%, Memory: 949.9MiB / 251.5GiB
competent_newton: CPU: 169.92%, Memory: 635.5MiB / 251.5GiB
strange_mahavira: CPU: 123.21%, Memory: 907MiB / 251.5GiB
strange_mahavira: CPU: 237.96%, Memory: 1.328GiB / 251.5GiB
strange_mahavira: CPU: 177.99%, Memory: 1.328GiB / 251.5GiB
strange_mahavira: CPU: 170.34%, Memory: 1.328GiB / 251.5GiB
strange_mahavira: CPU: 163.67%, Memory: 1.328GiB / 251.5GiB
strange_mahavira: CPU: 184.48%, Memory: 1.328GiB / 251.5GiB
strange_mahavira: CPU: 172.39%, Memory: 1.328GiB / 251.5GiB
strange_mahavira: CPU: 180.28%, Memory: 1.328GiB / 251.5GiB
strange_mahavira: CPU: 174.89%, Memory: 1.328GiB / 251.5GiB
strange_mahavira: CPU: 171.68%, Memory: 1.328GiB / 251.5GiB
strange_mahavira: CPU: 157.89%, Memory: 1.328GiB / 251.5GiB
strange_mahavira: CPU: 178.36%, Memory: 1.333GiB / 251.5GiB
strange_mahavira: CPU: 165.04%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 158.04%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 194.78%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 170.89%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 175.22%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 167.71%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 181.27%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 173.70%, Memory: 1.333GiB / 251.5GiB
strange_mahavira: CPU: 168.09%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 174.06%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 162.85%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 186.92%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 219.92%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 172.51%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 195.77%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 189.98%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 214.84%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 211.18%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 194.58%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 157.08%, Memory: 1.334GiB / 251.5GiB
strange_mahavira: CPU: 169.06%, Memory: 1.333GiB / 251.5GiB
strange_mahavira: CPU: 201.00%, Memory: 1.333GiB / 251.5GiB
strange_mahavira: CPU: 214.45%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 225.72%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 215.88%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 214.76%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 196.86%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 154.71%, Memory: 1.333GiB / 251.5GiB
strange_mahavira: CPU: 180.84%, Memory: 1.333GiB / 251.5GiB
strange_mahavira: CPU: 173.15%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 174.86%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 179.15%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 164.61%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 160.15%, Memory: 1.333GiB / 251.5GiB
strange_mahavira: CPU: 183.76%, Memory: 1.333GiB / 251.5GiB
strange_mahavira: CPU: 163.64%, Memory: 1.332GiB / 251.5GiB
strange_mahavira: CPU: 175.74%, Memory: 1.333GiB / 251.5GiB
