frosty_moore: CPU: 101.00%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 101.13%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 100.43%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 100.25%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 100.81%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 99.37%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 101.13%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 100.50%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 99.87%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 99.93%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 100.90%, Memory: 4.623GiB / 251.5GiB
frosty_moore: CPU: 100.58%, Memory: 7.212GiB / 251.5GiB
frosty_moore: CPU: 1550.68%, Memory: 7.613GiB / 251.5GiB
frosty_moore: CPU: 1526.84%, Memory: 7.613GiB / 251.5GiB
frosty_moore: CPU: 310.38%, Memory: 7.613GiB / 251.5GiB
frosty_moore: CPU: 100.56%, Memory: 7.065GiB / 251.5GiB
frosty_moore: CPU: 1573.00%, Memory: 7.627GiB / 251.5GiB
frosty_moore: CPU: 1487.08%, Memory: 7.627GiB / 251.5GiB
frosty_moore: CPU: 1562.81%, Memory: 7.627GiB / 251.5GiB
frosty_moore: CPU: 1545.01%, Memory: 7.635GiB / 251.5GiB
frosty_moore: CPU: 1541.79%, Memory: 7.64GiB / 251.5GiB
frosty_moore: CPU: 100.50%, Memory: 7.64GiB / 251.5GiB
frosty_moore: CPU: 100.89%, Memory: 6.067GiB / 251.5GiB
compassionate_gagarin2: CPU: 158.12%, Memory: 1.687GiB / 251.5GiB
compassionate_gagarin2: CPU: 99.38%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 99.77%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 99.28%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 100.21%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 99.28%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 100.31%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 101.07%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 101.03%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 101.07%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 100.58%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 100.31%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 100.00%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 100.33%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 101.22%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 99.87%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 99.81%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 100.63%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 99.52%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 99.93%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 101.09%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 101.13%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 100.87%, Memory: 2.988GiB / 251.5GiB
compassionate_gagarin2: CPU: 100.84%, Memory: 6.541GiB / 251.5GiB
compassionate_gagarin2: CPU: 1326.55%, Memory: 7.613GiB / 251.5GiB
compassionate_gagarin2: CPU: 1554.72%, Memory: 7.613GiB / 251.5GiB
compassionate_gagarin2: CPU: 1558.52%, Memory: 7.613GiB / 251.5GiB
compassionate_gagarin2: CPU: 99.19%, Memory: 6.481GiB / 251.5GiB
compassionate_gagarin2: CPU: 1098.09%, Memory: 7.627GiB / 251.5GiB
compassionate_gagarin2: CPU: 1535.36%, Memory: 7.627GiB / 251.5GiB
compassionate_gagarin2: CPU: 1544.87%, Memory: 7.627GiB / 251.5GiB
compassionate_gagarin2: CPU: 1495.58%, Memory: 7.631GiB / 251.5GiB
compassionate_gagarin2: CPU: 1534.61%, Memory: 7.637GiB / 251.5GiB
compassionate_gagarin2: CPU: 997.03%, Memory: 7.641GiB / 251.5GiB
compassionate_gagarin2: CPU: 100.06%, Memory: 6.067GiB / 251.5GiB
exciting_chandrasekhar: CPU: 100.31%, Memory: 1.939GiB / 251.5GiB
exciting_chandrasekhar: CPU: 100.50%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 101.22%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 99.56%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 101.45%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 101.34%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 100.89%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 100.75%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 101.20%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 100.87%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 99.87%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 100.18%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 100.58%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 100.65%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 100.62%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 100.46%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 100.75%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 101.13%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 101.47%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 100.84%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 100.33%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 99.87%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 100.68%, Memory: 2.988GiB / 251.5GiB
exciting_chandrasekhar: CPU: 99.56%, Memory: 5.009GiB / 251.5GiB
exciting_chandrasekhar: CPU: 100.62%, Memory: 7.315GiB / 251.5GiB
exciting_chandrasekhar: CPU: 1552.83%, Memory: 7.613GiB / 251.5GiB
exciting_chandrasekhar: CPU: 1552.93%, Memory: 7.613GiB / 251.5GiB
exciting_chandrasekhar: CPU: 477.51%, Memory: 7.613GiB / 251.5GiB
exciting_chandrasekhar: CPU: 100.18%, Memory: 6.993GiB / 251.5GiB
exciting_chandrasekhar: CPU: 1556.96%, Memory: 7.627GiB / 251.5GiB
exciting_chandrasekhar: CPU: 1555.93%, Memory: 7.627GiB / 251.5GiB
exciting_chandrasekhar: CPU: 1550.39%, Memory: 7.627GiB / 251.5GiB
exciting_chandrasekhar: CPU: 1524.25%, Memory: 7.633GiB / 251.5GiB
exciting_chandrasekhar: CPU: 1536.34%, Memory: 7.638GiB / 251.5GiB
exciting_chandrasekhar: CPU: 152.84%, Memory: 7.64GiB / 251.5GiB
exciting_chandrasekhar: CPU: 100.56%, Memory: 6.067GiB / 251.5GiB
ecstatic_joliot: CPU: 102.24%, Memory: 1.772GiB / 251.5GiB
ecstatic_joliot: CPU: 100.27%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 100.27%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 100.88%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 98.76%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 100.25%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 99.68%, Memory: 2.988GiB / 251.5GiB
ecstatic_joliot: CPU: 101.13%, Memory: 2.988GiB / 251.5GiB
