upbeat_montalcini: CPU: 1443.88%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 1589.96%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 1589.96%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 1583.97%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 1591.39%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 1585.12%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 1365.21%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 1431.00%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 1412.08%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 1493.86%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 1589.74%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 1562.86%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 1534.93%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 1589.94%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 1592.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 1586.63%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 1582.17%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.11%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.95%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.11%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.00%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.17%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.09%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.88%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.03%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.17%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.94%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.84%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.11%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.19%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.29%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.95%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.17%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.95%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.10%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.04%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.17%, Memory: 2.285GiB / 251.5GiB
