interesting_brahmagupta: CPU: 98.88%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.18%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.81%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.43%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.62%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.39%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.12%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.71%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.09%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.87%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.08%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.90%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.03%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.56%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.02%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.40%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.90%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.06%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.01%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.62%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.83%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.39%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.25%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.96%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.93%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.81%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.35%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.71%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.32%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.56%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.28%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.33%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.50%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.08%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.26%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.46%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.50%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.37%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.87%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.81%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.24%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.31%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.93%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.81%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 102.25%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.16%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.58%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.52%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.47%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.15%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.22%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.44%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.77%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.20%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 1592.55%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1591.71%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1567.38%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1575.39%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1590.31%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1591.58%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1588.36%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1592.49%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1591.60%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1590.39%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1590.56%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1588.29%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1587.88%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1588.76%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1584.41%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1593.50%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1591.09%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1591.77%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1589.79%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1589.52%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1588.73%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1584.83%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1590.68%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1590.42%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1594.04%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1571.40%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1589.54%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1576.08%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1589.90%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1591.66%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1575.30%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1563.21%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1565.98%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1557.72%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1587.36%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1588.98%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1574.17%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1591.88%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1592.07%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1590.41%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1588.15%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1590.72%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1590.20%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1588.54%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1589.71%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1557.01%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1497.26%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1558.45%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1582.36%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1589.11%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1591.79%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1590.87%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1592.66%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1591.82%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1589.78%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1588.92%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1587.74%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1588.93%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 1529.42%, Memory: 586MiB / 251.5GiB
interesting_brahmagupta: CPU: 105.13%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 100.84%, Memory: 193.7MiB / 251.5GiB
brave_pare: CPU: 548.78%, Memory: 388.3MiB / 251.5GiB
