dazzling_jennings: CPU: 800.05%, Memory: 9.142GiB / 251.5GiB
dazzling_jennings: CPU: 800.60%, Memory: 9.138GiB / 251.5GiB
dazzling_jennings: CPU: 798.85%, Memory: 9.117GiB / 251.5GiB
dazzling_jennings: CPU: 800.62%, Memory: 9.163GiB / 251.5GiB
dazzling_jennings: CPU: 801.28%, Memory: 9.147GiB / 251.5GiB
dazzling_jennings: CPU: 804.17%, Memory: 9.149GiB / 251.5GiB
dazzling_jennings: CPU: 799.04%, Memory: 9.176GiB / 251.5GiB
dazzling_jennings: CPU: 100.02%, Memory: 12.1GiB / 251.5GiB
dazzling_jennings: CPU: 800.44%, Memory: 13.92GiB / 251.5GiB
dazzling_jennings: CPU: 798.08%, Memory: 13.92GiB / 251.5GiB
dazzling_jennings: CPU: 100.27%, Memory: 15.33GiB / 251.5GiB
dazzling_jennings: CPU: 99.75%, Memory: 15.33GiB / 251.5GiB
dazzling_jennings: CPU: 453.61%, Memory: 18.32GiB / 251.5GiB
dazzling_jennings: CPU: 800.63%, Memory: 18.32GiB / 251.5GiB
dazzling_jennings: CPU: 799.31%, Memory: 18.32GiB / 251.5GiB
dazzling_jennings: CPU: 800.60%, Memory: 18.32GiB / 251.5GiB
dazzling_jennings: CPU: 799.93%, Memory: 18.32GiB / 251.5GiB
dazzling_jennings: CPU: 803.67%, Memory: 18.32GiB / 251.5GiB
dazzling_jennings: CPU: 802.66%, Memory: 18.32GiB / 251.5GiB
dazzling_jennings: CPU: 800.33%, Memory: 18.32GiB / 251.5GiB
hungry_cartwright: CPU: 100.08%, Memory: 4.447GiB / 251.5GiB
hungry_cartwright: CPU: 100.08%, Memory: 5.975GiB / 251.5GiB
hungry_cartwright: CPU: 99.87%, Memory: 5.975GiB / 251.5GiB
hungry_cartwright: CPU: 799.31%, Memory: 9.019GiB / 251.5GiB
hungry_cartwright: CPU: 802.65%, Memory: 9.02GiB / 251.5GiB
hungry_cartwright: CPU: 801.05%, Memory: 9.021GiB / 251.5GiB
hungry_cartwright: CPU: 801.56%, Memory: 9.023GiB / 251.5GiB
hungry_cartwright: CPU: 798.93%, Memory: 9.025GiB / 251.5GiB
hungry_cartwright: CPU: 802.97%, Memory: 9.027GiB / 251.5GiB
hungry_cartwright: CPU: 798.07%, Memory: 9.03GiB / 251.5GiB
hungry_cartwright: CPU: 799.43%, Memory: 9.038GiB / 251.5GiB
hungry_cartwright: CPU: 804.23%, Memory: 9.07GiB / 251.5GiB
hungry_cartwright: CPU: 798.75%, Memory: 9.104GiB / 251.5GiB
hungry_cartwright: CPU: 797.96%, Memory: 9.136GiB / 251.5GiB
hungry_cartwright: CPU: 798.95%, Memory: 9.145GiB / 251.5GiB
hungry_cartwright: CPU: 798.96%, Memory: 9.153GiB / 251.5GiB
hungry_cartwright: CPU: 798.95%, Memory: 9.16GiB / 251.5GiB
hungry_cartwright: CPU: 800.16%, Memory: 9.166GiB / 251.5GiB
hungry_cartwright: CPU: 802.11%, Memory: 9.17GiB / 251.5GiB
hungry_cartwright: CPU: 799.18%, Memory: 9.175GiB / 251.5GiB
hungry_cartwright: CPU: 100.00%, Memory: 9.118GiB / 251.5GiB
hungry_cartwright: CPU: 799.96%, Memory: 13.89GiB / 251.5GiB
hungry_cartwright: CPU: 800.65%, Memory: 13.89GiB / 251.5GiB
hungry_cartwright: CPU: 99.62%, Memory: 15.31GiB / 251.5GiB
hungry_cartwright: CPU: 99.80%, Memory: 15.31GiB / 251.5GiB
hungry_cartwright: CPU: 100.21%, Memory: 16.15GiB / 251.5GiB
hungry_cartwright: CPU: 803.14%, Memory: 18.29GiB / 251.5GiB
hungry_cartwright: CPU: 801.62%, Memory: 18.29GiB / 251.5GiB
hungry_cartwright: CPU: 803.13%, Memory: 18.29GiB / 251.5GiB
hungry_cartwright: CPU: 803.10%, Memory: 18.29GiB / 251.5GiB
hungry_cartwright: CPU: 801.11%, Memory: 18.29GiB / 251.5GiB
hungry_cartwright: CPU: 801.11%, Memory: 18.29GiB / 251.5GiB
hungry_cartwright: CPU: 799.95%, Memory: 18.29GiB / 251.5GiB
hungry_cartwright: CPU: 429.65%, Memory: 18.29GiB / 251.5GiB
festive_cartwright: CPU: 100.32%, Memory: 2.959GiB / 251.5GiB
festive_cartwright: CPU: 99.81%, Memory: 5.975GiB / 251.5GiB
festive_cartwright: CPU: 100.15%, Memory: 5.975GiB / 251.5GiB
festive_cartwright: CPU: 802.75%, Memory: 9.018GiB / 251.5GiB
festive_cartwright: CPU: 799.52%, Memory: 9.019GiB / 251.5GiB
festive_cartwright: CPU: 799.62%, Memory: 9.021GiB / 251.5GiB
festive_cartwright: CPU: 800.90%, Memory: 9.023GiB / 251.5GiB
festive_cartwright: CPU: 798.92%, Memory: 9.024GiB / 251.5GiB
festive_cartwright: CPU: 800.49%, Memory: 9.027GiB / 251.5GiB
festive_cartwright: CPU: 799.49%, Memory: 9.029GiB / 251.5GiB
festive_cartwright: CPU: 801.20%, Memory: 9.035GiB / 251.5GiB
festive_cartwright: CPU: 701.39%, Memory: 9.057GiB / 251.5GiB
festive_cartwright: CPU: 802.63%, Memory: 9.12GiB / 251.5GiB
festive_cartwright: CPU: 799.87%, Memory: 9.134GiB / 251.5GiB
