hardcore_lewin: CPU: 101.54%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.88%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.13%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.24%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.27%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.09%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.19%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.19%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.39%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.41%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.08%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.68%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.56%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.12%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.81%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.18%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.75%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.45%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.18%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.87%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.52%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.37%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.35%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.40%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.07%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.87%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.18%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.56%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.03%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.60%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.26%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.56%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.71%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 102.23%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.09%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.37%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.84%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.73%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.56%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.31%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.06%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.14%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.33%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.84%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.06%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.65%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.19%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.14%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.81%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.60%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.86%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.48%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.40%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.87%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.26%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.75%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.07%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.52%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.65%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.40%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.33%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.27%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.40%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.12%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.33%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.08%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.89%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.44%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.90%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.00%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.81%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.39%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.56%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.71%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.20%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.09%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.96%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.54%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.44%, Memory: 1.512GiB / 251.5GiB
