vibrant_blackburn: CPU: 1391.93%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1212.73%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1312.81%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1420.76%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1482.72%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1384.91%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1514.05%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1260.50%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1478.57%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1498.18%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1347.76%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1459.34%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1368.85%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1538.23%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1227.67%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1375.30%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1500.81%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1375.10%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1297.99%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1483.44%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1486.38%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1494.72%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1439.47%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1512.62%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1469.24%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1383.91%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1423.81%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1395.58%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1449.72%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1460.52%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1426.76%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1359.42%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1479.27%, Memory: 5.976GiB / 251.5GiB
