bold_herschel: CPU: 100.21%, Memory: 8.961GiB / 251.5GiB
bold_herschel: CPU: 99.75%, Memory: 8.961GiB / 251.5GiB
bold_herschel: CPU: 99.75%, Memory: 8.961GiB / 251.5GiB
bold_herschel: CPU: 99.62%, Memory: 8.961GiB / 251.5GiB
bold_herschel: CPU: 800.42%, Memory: 8.984GiB / 251.5GiB
bold_herschel: CPU: 801.66%, Memory: 8.984GiB / 251.5GiB
bold_herschel: CPU: 803.14%, Memory: 8.983GiB / 251.5GiB
bold_herschel: CPU: 800.66%, Memory: 8.983GiB / 251.5GiB
bold_herschel: CPU: 801.41%, Memory: 8.983GiB / 251.5GiB
bold_herschel: CPU: 798.44%, Memory: 8.983GiB / 251.5GiB
bold_herschel: CPU: 798.84%, Memory: 8.983GiB / 251.5GiB
bold_herschel: CPU: 797.54%, Memory: 8.983GiB / 251.5GiB
priceless_satoshi: CPU: 100.06%, Memory: 5.18GiB / 251.5GiB
priceless_satoshi: CPU: 100.33%, Memory: 8.961GiB / 251.5GiB
priceless_satoshi: CPU: 100.00%, Memory: 8.961GiB / 251.5GiB
priceless_satoshi: CPU: 99.87%, Memory: 8.961GiB / 251.5GiB
priceless_satoshi: CPU: 99.93%, Memory: 8.961GiB / 251.5GiB
priceless_satoshi: CPU: 798.15%, Memory: 8.984GiB / 251.5GiB
priceless_satoshi: CPU: 801.60%, Memory: 8.983GiB / 251.5GiB
priceless_satoshi: CPU: 801.65%, Memory: 8.983GiB / 251.5GiB
priceless_satoshi: CPU: 799.97%, Memory: 8.983GiB / 251.5GiB
priceless_satoshi: CPU: 798.45%, Memory: 8.983GiB / 251.5GiB
priceless_satoshi: CPU: 797.45%, Memory: 8.983GiB / 251.5GiB
priceless_satoshi: CPU: 801.09%, Memory: 8.983GiB / 251.5GiB
priceless_satoshi: CPU: 801.60%, Memory: 8.983GiB / 251.5GiB
festive_bardeen: CPU: 99.81%, Memory: 4.046GiB / 251.5GiB
festive_bardeen: CPU: 99.75%, Memory: 8.961GiB / 251.5GiB
festive_bardeen: CPU: 99.68%, Memory: 8.961GiB / 251.5GiB
festive_bardeen: CPU: 100.08%, Memory: 8.961GiB / 251.5GiB
festive_bardeen: CPU: 99.81%, Memory: 8.961GiB / 251.5GiB
festive_bardeen: CPU: 801.15%, Memory: 8.984GiB / 251.5GiB
festive_bardeen: CPU: 797.46%, Memory: 8.983GiB / 251.5GiB
festive_bardeen: CPU: 797.45%, Memory: 8.983GiB / 251.5GiB
festive_bardeen: CPU: 802.57%, Memory: 8.983GiB / 251.5GiB
festive_bardeen: CPU: 799.63%, Memory: 8.983GiB / 251.5GiB
festive_bardeen: CPU: 800.32%, Memory: 8.983GiB / 251.5GiB
festive_bardeen: CPU: 797.39%, Memory: 8.983GiB / 251.5GiB
festive_bardeen: CPU: 798.08%, Memory: 8.983GiB / 251.5GiB
heuristic_einstein: CPU: 100.19%, Memory: 5.257GiB / 251.5GiB
heuristic_einstein: CPU: 100.08%, Memory: 8.961GiB / 251.5GiB
heuristic_einstein: CPU: 99.68%, Memory: 8.961GiB / 251.5GiB
heuristic_einstein: CPU: 100.27%, Memory: 8.961GiB / 251.5GiB
heuristic_einstein: CPU: 99.87%, Memory: 8.961GiB / 251.5GiB
heuristic_einstein: CPU: 800.40%, Memory: 8.984GiB / 251.5GiB
heuristic_einstein: CPU: 800.47%, Memory: 8.983GiB / 251.5GiB
heuristic_einstein: CPU: 797.85%, Memory: 8.983GiB / 251.5GiB
heuristic_einstein: CPU: 801.04%, Memory: 8.983GiB / 251.5GiB
heuristic_einstein: CPU: 803.10%, Memory: 8.983GiB / 251.5GiB
heuristic_einstein: CPU: 799.63%, Memory: 8.983GiB / 251.5GiB
heuristic_einstein: CPU: 799.90%, Memory: 8.983GiB / 251.5GiB
heuristic_einstein: CPU: 800.74%, Memory: 8.983GiB / 251.5GiB
