reverent_williamson: CPU: 1491.16%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1505.76%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1534.48%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1542.61%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1536.90%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1533.59%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1491.12%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1561.97%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1484.14%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1514.36%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1541.54%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1506.61%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1537.67%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1540.37%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1530.07%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1541.05%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1521.52%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1504.52%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1534.03%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1518.79%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1510.37%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1510.40%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1542.75%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1541.56%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1520.91%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1522.59%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1521.35%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1503.87%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1502.68%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1539.79%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1509.57%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1491.86%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1497.62%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1495.44%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1497.41%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1489.58%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1498.06%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1493.82%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1488.24%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1483.28%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1504.79%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1492.96%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1504.33%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1507.51%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1490.97%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1512.06%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1537.49%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1501.52%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1492.06%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1496.23%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1491.55%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1483.82%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1521.74%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1484.39%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1491.13%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1501.76%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1525.79%, Memory: 14.95GiB / 251.5GiB
