awesome_sanderson: CPU: 1583.23%, Memory: 12.16GiB / 251.5GiB
awesome_sanderson: CPU: 898.10%, Memory: 12.16GiB / 251.5GiB
awesome_sanderson: CPU: 1153.57%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1493.23%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1495.30%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1503.92%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1502.73%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1523.37%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1494.85%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1483.58%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1547.33%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1553.91%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1559.30%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1553.54%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1494.33%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1499.86%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 100.90%, Memory: 7.437GiB / 251.5GiB
sleepy_mccarthy3: CPU: 132.37%, Memory: 151.9MiB / 251.5GiB
sleepy_mccarthy3: CPU: 101.71%, Memory: 3.097GiB / 251.5GiB
sleepy_mccarthy3: CPU: 102.12%, Memory: 4.366GiB / 251.5GiB
sleepy_mccarthy3: CPU: 99.87%, Memory: 5.634GiB / 251.5GiB
sleepy_mccarthy3: CPU: 98.88%, Memory: 7.938GiB / 251.5GiB
sleepy_mccarthy3: CPU: 99.49%, Memory: 3.789GiB / 251.5GiB
sleepy_mccarthy3: CPU: 100.94%, Memory: 5.214GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1567.34%, Memory: 6.107GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1549.57%, Memory: 6.107GiB / 251.5GiB
sleepy_mccarthy3: CPU: 522.06%, Memory: 6.107GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1581.83%, Memory: 9.108GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1540.68%, Memory: 9.108GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1557.25%, Memory: 9.108GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1580.65%, Memory: 9.108GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1551.94%, Memory: 9.108GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1515.32%, Memory: 9.108GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1547.02%, Memory: 9.115GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1534.60%, Memory: 9.116GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1491.51%, Memory: 9.116GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1552.38%, Memory: 9.116GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1565.63%, Memory: 9.117GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1521.52%, Memory: 9.117GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1490.65%, Memory: 9.117GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1487.59%, Memory: 9.117GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1510.49%, Memory: 9.117GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1504.41%, Memory: 9.117GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1484.24%, Memory: 9.117GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1513.72%, Memory: 9.117GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1503.45%, Memory: 9.118GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1518.91%, Memory: 9.117GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1511.12%, Memory: 9.118GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1543.23%, Memory: 9.118GiB / 251.5GiB
sleepy_mccarthy3: CPU: 930.38%, Memory: 12.09GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1560.89%, Memory: 12.16GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1541.38%, Memory: 12.16GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1540.34%, Memory: 12.16GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1552.12%, Memory: 12.16GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1563.78%, Memory: 12.16GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1150.99%, Memory: 12.16GiB / 251.5GiB
sleepy_mccarthy3: CPU: 821.45%, Memory: 9.185GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1582.41%, Memory: 9.184GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1484.88%, Memory: 9.184GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1497.79%, Memory: 9.184GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1479.71%, Memory: 9.184GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1494.35%, Memory: 9.184GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1495.58%, Memory: 9.184GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1506.41%, Memory: 9.184GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1485.79%, Memory: 9.184GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1488.91%, Memory: 9.184GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1523.05%, Memory: 9.184GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1547.15%, Memory: 9.184GiB / 251.5GiB
sleepy_mccarthy3: CPU: 1589.18%, Memory: 9.184GiB / 251.5GiB
sleepy_mccarthy3: CPU: 638.37%, Memory: 11.22GiB / 251.5GiB
busy_haibt: CPU: 211.92%, Memory: 69.75MiB / 251.5GiB
busy_haibt: CPU: 100.31%, Memory: 2.984GiB / 251.5GiB
busy_haibt: CPU: 101.01%, Memory: 4.261GiB / 251.5GiB
busy_haibt: CPU: 99.68%, Memory: 5.497GiB / 251.5GiB
busy_haibt: CPU: 99.43%, Memory: 6.546GiB / 251.5GiB
busy_haibt: CPU: 100.96%, Memory: 6.041GiB / 251.5GiB
busy_haibt: CPU: 100.68%, Memory: 4.12GiB / 251.5GiB
busy_haibt: CPU: 101.99%, Memory: 5.511GiB / 251.5GiB
busy_haibt: CPU: 1540.59%, Memory: 6.107GiB / 251.5GiB
busy_haibt: CPU: 1542.38%, Memory: 6.107GiB / 251.5GiB
busy_haibt: CPU: 111.30%, Memory: 6.431GiB / 251.5GiB
busy_haibt: CPU: 1584.18%, Memory: 9.108GiB / 251.5GiB
busy_haibt: CPU: 1556.30%, Memory: 9.108GiB / 251.5GiB
busy_haibt: CPU: 1547.64%, Memory: 9.108GiB / 251.5GiB
busy_haibt: CPU: 1499.31%, Memory: 9.108GiB / 251.5GiB
busy_haibt: CPU: 1543.38%, Memory: 9.108GiB / 251.5GiB
busy_haibt: CPU: 1551.74%, Memory: 9.108GiB / 251.5GiB
