peaceful_khayyam: CPU: 156.16%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 170.01%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 194.44%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 177.61%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 152.09%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 153.88%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 186.92%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 173.07%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 172.19%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 193.69%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 221.05%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 224.37%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 225.37%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 211.57%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 229.98%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 161.15%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 173.12%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 169.77%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 221.62%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 210.12%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 184.54%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 216.21%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 211.22%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 205.12%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 228.98%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 213.06%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 203.79%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 188.61%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 204.07%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 189.26%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 185.95%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 197.34%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 192.49%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 228.99%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 169.47%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 178.93%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 177.08%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 173.04%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 167.12%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 175.66%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 185.02%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 170.41%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 164.89%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 171.83%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 175.64%, Memory: 5.291GiB / 251.5GiB
peaceful_khayyam: CPU: 200.78%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 204.18%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 205.88%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 217.10%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 219.59%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 222.59%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 223.18%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 229.69%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 202.36%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 199.20%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 170.75%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 155.41%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 179.44%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 184.55%, Memory: 5.291GiB / 251.5GiB
peaceful_khayyam: CPU: 175.31%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 165.98%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 165.34%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 169.08%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 170.79%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 167.74%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 166.67%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 161.16%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 162.65%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 158.96%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 149.69%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 159.83%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 164.76%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 159.67%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 177.23%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 170.98%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 162.79%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 171.09%, Memory: 5.322GiB / 251.5GiB
peaceful_khayyam: CPU: 172.21%, Memory: 5.322GiB / 251.5GiB
peaceful_khayyam: CPU: 182.43%, Memory: 5.322GiB / 251.5GiB
peaceful_khayyam: CPU: 175.80%, Memory: 5.322GiB / 251.5GiB
peaceful_khayyam: CPU: 165.55%, Memory: 5.324GiB / 251.5GiB
peaceful_khayyam: CPU: 174.49%, Memory: 5.324GiB / 251.5GiB
peaceful_khayyam: CPU: 167.50%, Memory: 5.324GiB / 251.5GiB
peaceful_khayyam: CPU: 165.92%, Memory: 5.324GiB / 251.5GiB
peaceful_khayyam: CPU: 164.32%, Memory: 5.324GiB / 251.5GiB
peaceful_khayyam: CPU: 170.87%, Memory: 5.324GiB / 251.5GiB
peaceful_khayyam: CPU: 171.41%, Memory: 5.324GiB / 251.5GiB
peaceful_khayyam: CPU: 188.04%, Memory: 5.324GiB / 251.5GiB
peaceful_khayyam: CPU: 192.42%, Memory: 5.324GiB / 251.5GiB
peaceful_khayyam: CPU: 244.98%, Memory: 5.324GiB / 251.5GiB
peaceful_khayyam: CPU: 193.32%, Memory: 5.324GiB / 251.5GiB
peaceful_khayyam: CPU: 180.57%, Memory: 5.324GiB / 251.5GiB
peaceful_khayyam: CPU: 169.00%, Memory: 5.324GiB / 251.5GiB
peaceful_khayyam: CPU: 163.61%, Memory: 5.308GiB / 251.5GiB
peaceful_khayyam: CPU: 146.06%, Memory: 5.308GiB / 251.5GiB
peaceful_khayyam: CPU: 151.63%, Memory: 5.308GiB / 251.5GiB
peaceful_khayyam: CPU: 164.49%, Memory: 5.308GiB / 251.5GiB
peaceful_khayyam: CPU: 165.23%, Memory: 5.308GiB / 251.5GiB
peaceful_khayyam: CPU: 161.07%, Memory: 5.308GiB / 251.5GiB
peaceful_khayyam: CPU: 158.24%, Memory: 5.308GiB / 251.5GiB
peaceful_khayyam: CPU: 202.53%, Memory: 5.308GiB / 251.5GiB
peaceful_khayyam: CPU: 237.04%, Memory: 5.308GiB / 251.5GiB
peaceful_khayyam: CPU: 174.09%, Memory: 5.308GiB / 251.5GiB
peaceful_khayyam: CPU: 174.64%, Memory: 5.308GiB / 251.5GiB
peaceful_khayyam: CPU: 191.14%, Memory: 5.308GiB / 251.5GiB
peaceful_khayyam: CPU: 175.11%, Memory: 5.308GiB / 251.5GiB
peaceful_khayyam: CPU: 224.13%, Memory: 5.308GiB / 251.5GiB
peaceful_khayyam: CPU: 179.83%, Memory: 5.308GiB / 251.5GiB
peaceful_khayyam: CPU: 167.00%, Memory: 5.308GiB / 251.5GiB
peaceful_khayyam: CPU: 190.96%, Memory: 5.308GiB / 251.5GiB
peaceful_khayyam: CPU: 218.71%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 196.84%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 178.00%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 207.02%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 198.62%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 195.97%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 163.14%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 173.47%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 191.97%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 179.19%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 171.85%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 156.59%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 157.52%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 199.56%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 213.68%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 193.92%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 199.83%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 205.45%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 193.65%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 213.60%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 219.73%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 245.36%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 224.44%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 243.81%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 186.68%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 175.46%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 169.67%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 178.86%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 184.92%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 153.48%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 150.26%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 185.37%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 196.68%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 228.58%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 275.48%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 224.27%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 210.35%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 187.79%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 185.11%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 162.70%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 164.10%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 178.25%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 174.87%, Memory: 5.331GiB / 251.5GiB
peaceful_khayyam: CPU: 170.54%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 162.85%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 180.29%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 172.23%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 198.76%, Memory: 5.338GiB / 251.5GiB
peaceful_khayyam: CPU: 170.50%, Memory: 5.338GiB / 251.5GiB
