compassionate_ganguly: CPU: 800.43%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 803.15%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 797.46%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 800.65%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 799.62%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 801.33%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 800.37%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 801.14%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 797.94%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 799.46%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 803.66%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 799.95%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 799.45%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 797.96%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 803.12%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 798.45%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 799.96%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 799.16%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 800.63%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 802.66%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 797.95%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 799.73%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 803.66%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 799.62%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 797.44%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 801.41%, Memory: 24.21GiB / 251.5GiB
compassionate_ganguly: CPU: 803.23%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 796.10%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.30%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.08%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 797.93%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.86%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.33%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.98%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.42%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.43%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 802.13%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 795.62%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.21%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.69%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 802.72%, Memory: 24.36GiB / 251.5GiB
