zealous_lovelace: CPU: 800.62%, Memory: 9.538GiB / 251.5GiB
zealous_lovelace: CPU: 316.54%, Memory: 9.441GiB / 251.5GiB
zealous_lovelace: CPU: 797.95%, Memory: 9.44GiB / 251.5GiB
zealous_lovelace: CPU: 800.13%, Memory: 9.439GiB / 251.5GiB
zealous_lovelace: CPU: 801.17%, Memory: 9.439GiB / 251.5GiB
zealous_lovelace: CPU: 798.45%, Memory: 9.439GiB / 251.5GiB
zealous_lovelace: CPU: 798.45%, Memory: 9.439GiB / 251.5GiB
zealous_lovelace: CPU: 797.44%, Memory: 9.439GiB / 251.5GiB
zealous_lovelace: CPU: 801.51%, Memory: 9.439GiB / 251.5GiB
zealous_lovelace: CPU: 801.22%, Memory: 9.439GiB / 251.5GiB
upbeat_nightingale: CPU: 99.99%, Memory: 2.973GiB / 251.5GiB
upbeat_nightingale: CPU: 100.08%, Memory: 5.975GiB / 251.5GiB
upbeat_nightingale: CPU: 99.87%, Memory: 5.975GiB / 251.5GiB
upbeat_nightingale: CPU: 800.41%, Memory: 9.066GiB / 251.5GiB
upbeat_nightingale: CPU: 801.04%, Memory: 9.065GiB / 251.5GiB
upbeat_nightingale: CPU: 797.83%, Memory: 9.066GiB / 251.5GiB
upbeat_nightingale: CPU: 801.11%, Memory: 9.067GiB / 251.5GiB
upbeat_nightingale: CPU: 799.22%, Memory: 9.28GiB / 251.5GiB
upbeat_nightingale: CPU: 799.97%, Memory: 9.28GiB / 251.5GiB
upbeat_nightingale: CPU: 798.35%, Memory: 9.453GiB / 251.5GiB
upbeat_nightingale: CPU: 801.14%, Memory: 9.473GiB / 251.5GiB
upbeat_nightingale: CPU: 798.46%, Memory: 9.49GiB / 251.5GiB
upbeat_nightingale: CPU: 798.44%, Memory: 9.503GiB / 251.5GiB
upbeat_nightingale: CPU: 798.45%, Memory: 9.513GiB / 251.5GiB
upbeat_nightingale: CPU: 247.72%, Memory: 9.419GiB / 251.5GiB
upbeat_nightingale: CPU: 797.95%, Memory: 9.418GiB / 251.5GiB
upbeat_nightingale: CPU: 801.65%, Memory: 9.418GiB / 251.5GiB
upbeat_nightingale: CPU: 799.94%, Memory: 9.418GiB / 251.5GiB
upbeat_nightingale: CPU: 797.94%, Memory: 9.418GiB / 251.5GiB
upbeat_nightingale: CPU: 801.59%, Memory: 9.418GiB / 251.5GiB
upbeat_nightingale: CPU: 801.42%, Memory: 9.418GiB / 251.5GiB
upbeat_nightingale: CPU: 801.64%, Memory: 9.417GiB / 251.5GiB
upbeat_nightingale: CPU: 797.51%, Memory: 9.417GiB / 251.5GiB
nervous_ganguly: CPU: 100.33%, Memory: 4.567GiB / 251.5GiB
nervous_ganguly: CPU: 100.39%, Memory: 5.975GiB / 251.5GiB
nervous_ganguly: CPU: 99.93%, Memory: 5.975GiB / 251.5GiB
nervous_ganguly: CPU: 802.63%, Memory: 9.066GiB / 251.5GiB
nervous_ganguly: CPU: 801.14%, Memory: 9.066GiB / 251.5GiB
nervous_ganguly: CPU: 802.13%, Memory: 9.066GiB / 251.5GiB
nervous_ganguly: CPU: 776.25%, Memory: 8.66GiB / 251.5GiB
nervous_ganguly: CPU: 799.53%, Memory: 9.279GiB / 251.5GiB
nervous_ganguly: CPU: 799.77%, Memory: 9.279GiB / 251.5GiB
nervous_ganguly: CPU: 797.96%, Memory: 9.458GiB / 251.5GiB
nervous_ganguly: CPU: 797.97%, Memory: 9.479GiB / 251.5GiB
nervous_ganguly: CPU: 802.16%, Memory: 9.492GiB / 251.5GiB
nervous_ganguly: CPU: 802.15%, Memory: 9.506GiB / 251.5GiB
nervous_ganguly: CPU: 800.16%, Memory: 9.515GiB / 251.5GiB
nervous_ganguly: CPU: 589.63%, Memory: 9.417GiB / 251.5GiB
nervous_ganguly: CPU: 799.59%, Memory: 9.417GiB / 251.5GiB
nervous_ganguly: CPU: 803.54%, Memory: 9.417GiB / 251.5GiB
nervous_ganguly: CPU: 797.43%, Memory: 9.417GiB / 251.5GiB
nervous_ganguly: CPU: 799.35%, Memory: 9.417GiB / 251.5GiB
nervous_ganguly: CPU: 797.41%, Memory: 9.417GiB / 251.5GiB
nervous_ganguly: CPU: 802.09%, Memory: 9.416GiB / 251.5GiB
nervous_ganguly: CPU: 802.62%, Memory: 9.416GiB / 251.5GiB
nervous_ganguly: CPU: 800.98%, Memory: 9.416GiB / 251.5GiB
intelligent_yalow: CPU: 99.77%, Memory: 2.978GiB / 251.5GiB
intelligent_yalow: CPU: 100.18%, Memory: 5.975GiB / 251.5GiB
intelligent_yalow: CPU: 99.81%, Memory: 5.975GiB / 251.5GiB
intelligent_yalow: CPU: 799.48%, Memory: 9.066GiB / 251.5GiB
