unruffled_moser: CPU: 1449.33%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1461.98%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1422.14%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1574.99%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1585.14%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1589.44%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1583.01%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1576.82%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1579.25%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1569.18%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 100.05%, Memory: 5.938GiB / 251.5GiB
flamboyant_kapitsa: CPU: 129.07%, Memory: 1.721GiB / 251.5GiB
flamboyant_kapitsa: CPU: 100.07%, Memory: 5.882GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1344.26%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1411.63%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1583.64%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1582.40%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1540.91%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1593.79%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1586.89%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1589.17%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1587.44%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1590.44%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1532.98%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1346.41%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1311.60%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1442.81%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1591.09%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 99.98%, Memory: 6.237GiB / 251.5GiB
stoic_liskov: CPU: 100.23%, Memory: 2.095GiB / 251.5GiB
stoic_liskov: CPU: 436.79%, Memory: 5.976GiB / 251.5GiB
stoic_liskov: CPU: 1582.44%, Memory: 6.042GiB / 251.5GiB
stoic_liskov: CPU: 1591.98%, Memory: 6.042GiB / 251.5GiB
stoic_liskov: CPU: 1585.90%, Memory: 6.042GiB / 251.5GiB
stoic_liskov: CPU: 1581.56%, Memory: 6.042GiB / 251.5GiB
stoic_liskov: CPU: 1575.96%, Memory: 6.042GiB / 251.5GiB
stoic_liskov: CPU: 1447.35%, Memory: 6.042GiB / 251.5GiB
stoic_liskov: CPU: 1271.52%, Memory: 6.042GiB / 251.5GiB
stoic_liskov: CPU: 1353.15%, Memory: 6.042GiB / 251.5GiB
stoic_liskov: CPU: 1585.22%, Memory: 6.042GiB / 251.5GiB
stoic_liskov: CPU: 1581.95%, Memory: 6.042GiB / 251.5GiB
stoic_liskov: CPU: 1587.03%, Memory: 6.042GiB / 251.5GiB
stoic_liskov: CPU: 1576.27%, Memory: 6.042GiB / 251.5GiB
stoic_liskov: CPU: 1581.84%, Memory: 6.042GiB / 251.5GiB
stoic_liskov: CPU: 1578.68%, Memory: 6.042GiB / 251.5GiB
stoic_liskov: CPU: 100.01%, Memory: 4.948GiB / 251.5GiB
stoic_liskov: CPU: 100.10%, Memory: 5.56GiB / 251.5GiB
thirsty_greider: CPU: 100.11%, Memory: 2.453GiB / 251.5GiB
thirsty_greider: CPU: 667.53%, Memory: 5.976GiB / 251.5GiB
thirsty_greider: CPU: 1565.19%, Memory: 6.043GiB / 251.5GiB
thirsty_greider: CPU: 1306.91%, Memory: 6.042GiB / 251.5GiB
thirsty_greider: CPU: 1408.52%, Memory: 6.042GiB / 251.5GiB
thirsty_greider: CPU: 1504.85%, Memory: 6.042GiB / 251.5GiB
thirsty_greider: CPU: 1589.03%, Memory: 6.042GiB / 251.5GiB
thirsty_greider: CPU: 1586.68%, Memory: 6.042GiB / 251.5GiB
thirsty_greider: CPU: 1585.60%, Memory: 6.042GiB / 251.5GiB
thirsty_greider: CPU: 1582.85%, Memory: 6.042GiB / 251.5GiB
thirsty_greider: CPU: 1588.05%, Memory: 6.042GiB / 251.5GiB
thirsty_greider: CPU: 1587.98%, Memory: 6.042GiB / 251.5GiB
thirsty_greider: CPU: 1584.94%, Memory: 6.042GiB / 251.5GiB
thirsty_greider: CPU: 1458.72%, Memory: 6.042GiB / 251.5GiB
thirsty_greider: CPU: 1416.66%, Memory: 6.042GiB / 251.5GiB
thirsty_greider: CPU: 1398.94%, Memory: 6.042GiB / 251.5GiB
thirsty_greider: CPU: 100.11%, Memory: 5.613GiB / 251.5GiB
nifty_turing: CPU: 100.11%, Memory: 3.158GiB / 251.5GiB
nifty_turing: CPU: 1386.70%, Memory: 5.976GiB / 251.5GiB
nifty_turing: CPU: 1589.97%, Memory: 6.042GiB / 251.5GiB
nifty_turing: CPU: 1583.39%, Memory: 6.042GiB / 251.5GiB
nifty_turing: CPU: 1585.84%, Memory: 6.042GiB / 251.5GiB
nifty_turing: CPU: 1575.98%, Memory: 6.042GiB / 251.5GiB
nifty_turing: CPU: 1592.36%, Memory: 6.042GiB / 251.5GiB
nifty_turing: CPU: 1536.54%, Memory: 6.042GiB / 251.5GiB
nifty_turing: CPU: 1403.88%, Memory: 6.042GiB / 251.5GiB
nifty_turing: CPU: 1400.31%, Memory: 6.042GiB / 251.5GiB
nifty_turing: CPU: 1565.03%, Memory: 6.042GiB / 251.5GiB
nifty_turing: CPU: 1484.42%, Memory: 6.042GiB / 251.5GiB
nifty_turing: CPU: 1388.03%, Memory: 6.042GiB / 251.5GiB
nifty_turing: CPU: 1488.85%, Memory: 6.042GiB / 251.5GiB
nifty_turing: CPU: 1576.07%, Memory: 6.042GiB / 251.5GiB
nifty_turing: CPU: 1580.20%, Memory: 6.042GiB / 251.5GiB
nifty_turing: CPU: 100.13%, Memory: 7.03GiB / 251.5GiB
quirky_chaplygin: CPU: 100.16%, Memory: 2.879GiB / 251.5GiB
quirky_chaplygin: CPU: 1117.30%, Memory: 5.976GiB / 251.5GiB
quirky_chaplygin: CPU: 1589.71%, Memory: 6.042GiB / 251.5GiB
quirky_chaplygin: CPU: 1431.60%, Memory: 6.042GiB / 251.5GiB
quirky_chaplygin: CPU: 1458.60%, Memory: 6.042GiB / 251.5GiB
quirky_chaplygin: CPU: 1527.57%, Memory: 6.042GiB / 251.5GiB
quirky_chaplygin: CPU: 1514.01%, Memory: 6.042GiB / 251.5GiB
quirky_chaplygin: CPU: 1483.05%, Memory: 6.042GiB / 251.5GiB
quirky_chaplygin: CPU: 1390.14%, Memory: 6.042GiB / 251.5GiB
quirky_chaplygin: CPU: 1471.18%, Memory: 6.042GiB / 251.5GiB
quirky_chaplygin: CPU: 1581.28%, Memory: 6.042GiB / 251.5GiB
quirky_chaplygin: CPU: 1585.39%, Memory: 6.042GiB / 251.5GiB
quirky_chaplygin: CPU: 1585.10%, Memory: 6.042GiB / 251.5GiB
quirky_chaplygin: CPU: 1589.53%, Memory: 6.042GiB / 251.5GiB
quirky_chaplygin: CPU: 1595.86%, Memory: 6.042GiB / 251.5GiB
quirky_chaplygin: CPU: 1388.23%, Memory: 6.042GiB / 251.5GiB
quirky_chaplygin: CPU: 1520.54%, Memory: 6.042GiB / 251.5GiB
quirky_chaplygin: CPU: 100.13%, Memory: 4.868GiB / 251.5GiB
quirky_chaplygin: CPU: 100.08%, Memory: 6.665GiB / 251.5GiB
